us/m (H2),xs (H2),us/m (C4H10),"xs (Butane, C4H10)",us/m (C16H34),"xs (Cetane, C16H34)",us/m (C4H6),"xs (Butadiene, C4H6)",us/m (CH4),"xs (Methane, CH4)",us/m (C2H6),"xs (Ethane, C2H6)",us/m (C3H8),"xs (Propane, C3H8)",us/m (C2H4),"xs (Ethylene, C2H4)"
509.2571613,32.25759075,363.6582661,49.27585358,441.4585955,56.41351384,317.5999354,43.76796865,329.1835679,42.11970033,381.4019806,48.4466179,328.2921974,44.80915643,311.2055025,41.9032844
530.2901588,32.7714889,346.9063583,47.86376956,427.7616197,55.29891204,305.3634682,42.50335036,304.978463,40.78549415,361.7290556,47.33456686,317.5831961,43.69327925,298.9188171,40.41459791
548.3351816,33.28666242,328.6102451,46.22825503,407.9715192,53.6640352,290.0553295,40.86656045,282.1501699,38.92782449,346.5380925,46.22060276,306.9076735,42.72678087,282.1669093,39.00251389
567.8909312,33.87588766,310.2639138,44.3686723,394.2243253,52.3253652,277.7853836,39.45256336,268.4197154,37.66384389,329.8196634,44.95789754,290.0553295,40.86656045,273.0021133,38.11006723
587.3964626,34.2410447,293.4283092,42.58314128,386.570256,51.50697025,263.9879716,37.88982516,254.6390427,36.17579509,317.5831961,43.69327925,276.2244389,39.15444345,262.2931121,36.99419005
606.9019941,34.60620173,272.0103067,40.35138693,375.9114727,50.61516127,247.1188883,35.95491534,243.9133021,34.98522852,303.8192628,42.27991985,260.8995609,37.44296414,253.0948374,35.95236458
626.4242649,35.04604817,259.7236213,38.86270044,363.6917448,49.42523238,237.9038743,34.83840048,231.6935742,33.79529963,280.8737942,39.89942439,236.4266263,34.91372757,233.2879976,34.24279834
647.4070443,35.33587811,238.2888794,36.55625668,352.9994829,48.38404461,224.1901591,33.64910928,217.9463803,32.45662963,268.5703696,38.3360485,216.5360897,32.83071432,216.4858717,32.60664612
663.9078618,35.62762113,221.4030567,34.54665746,337.775041,47.1207017,210.4094864,32.16106048,205.7266523,31.26670074,254.7394789,36.6239315,190.5022105,30.00335783,198.0893224,30.52299519
686.4013678,35.99150279,199.9013574,31.9414561,322.4836418,45.55860119,201.2112118,31.11923501,188.8910477,29.48116972,234.882421,34.69029705,158.4589034,27.02917331,173.7000846,28.36720561
714.870823,36.35283368,178.4833548,29.70970175,308.7531872,44.29462059,193.5738818,30.37552946,173.6498665,28.14313741,219.5742824,33.05350714,140.1293115,25.24427997,156.8812193,26.65636399
744.8510048,36.78821629,161.5473141,27.47603433,293.4617879,42.73252008,184.3923465,29.40839339,159.8859333,26.72977801,198.1395404,30.74706339,117.3512365,23.61067851,140.0790934,25.02021177
770.3157461,37.07613317,141.6902562,25.54239989,279.6811153,41.24447128,170.6786313,28.21910219,144.6280127,25.31705631,178.2657432,28.73873955,91.58518687,21.97835243,126.4323356,24.12967818
791.3152648,37.44065252,124.9383484,24.13031587,262.8287714,39.38425086,150.7880947,26.13608895,127.9263229,24.12904049,164.4850706,27.25069075,59.99384231,21.02078171,112.7520991,23.08976578
816.7967454,37.80325879,106.7259319,22.86824834,249.0313594,37.82151266,129.4705283,24.352471,111.2581119,23.09040347,147.6662053,25.53984913,31.50764779,20.58476141,87.06974631,21.8308867
839.3069908,38.24182985,84.06503239,21.75747268,236.7279347,36.25813677,108.2199192,22.86761065,87.06974631,21.8308867,129.4035709,24.0537134,0.083696767,20.37408469,63.01529558,21.16888513
864.8386894,38.82850433,49.50245261,20.87586673,224.4747281,34.91882908,66.00327015,21.16760975,64.49254351,21.09355804,103.6877393,22.64545551,,,31.50764779,20.58476141
893.3583627,39.41390343,12.06907375,20.51836197,213.7322481,33.6535731,88.5972123,21.97962781,34.49562236,20.58348603,79.53285248,21.53531754,,,1.577684051,20.373447
918.9068007,40.07526731,0.083696767,20.37408469,196.8799041,31.79335268,30.01366051,20.5853991,1.594423404,20.4481364,47.99172598,20.80181502,,,,
945.9659653,40.8106829,,,181.5550261,30.08187337,1.577684051,20.373447,,,7.57037254,20.44558564,,,,
971.5311427,41.54673617,,,169.2850802,28.66787628,,,,,,,,,,
1000.101034,42.35620347,,,161.5975321,27.70010253,,,,,,,,,,
1022.694976,43.16822153,,,149.3108468,26.21141604,,,,,,,,,,
1046.749427,43.8302231,,,137.0911189,25.02148715,,,,,,,,,,
1076.796566,44.56436331,,,121.9001557,23.90752304,,,,,,,,,,
1102.378483,45.37510599,,,103.7044787,22.72014491,,,,,,,,,,
1126.416194,45.96241816,,,75.03415127,21.46254121,,,,,,,,,,
1148.976658,46.62505742,,,34.51236171,20.65817543,,,,,,,,,,
1173.031108,47.28705899,,,1.594423404,20.4481364,,,,,,,,,,
1200.090273,48.02247457,,,,,,,,,,,,,,
1219.629283,48.53701041,,,,,,,,,,,,,,
1237.674306,49.05218394,,,,,,,,,,,,,,
1260.21803,49.6401338,,,,,,,,,,,,,,
1281.267767,50.22872134,,,,,,,,,,,,,,
1306.832944,50.96477462,,,,,,,,,,,,,,
1327.882681,51.55336217,,,,,,,,,,,,,,
1348.932418,52.14194972,,,,,,,,,,,,,,
1362.462,52.50965751,,,,,,,,,,,,,,
