t_us,E_eV,f,s
0.05,0.0001,0.0,0.0
0.1033,0.0001,0.0,0.0
0.11013,0.0001,0.0,0.0
0.1174,0.0001,0.0,0.0
0.12515,0.0001,0.0,0.0
0.13342,0.0001,0.0,0.0
0.14223,0.0001,0.0,0.0
0.15163,0.0001,0.0,0.0
0.16164,0.0001,0.0,0.0
0.17232,0.0001,0.0,0.0
0.1837,0.0001,0.0,0.0
0.19583,0.0001,0.0,0.0
0.20877,0.0001,0.0,0.0
0.22256,0.0001,0.0,0.0
0.23726,0.0001,0.0,0.0
0.25293,0.0001,0.0,0.0
0.26964,0.0001,0.0,0.0
0.28745,0.0001,0.0,0.0
0.30643,0.0001,0.0,0.0
0.32667,0.0001,0.0,0.0
0.34825,0.0001,0.0,0.0
0.37125,0.0001,0.0,0.0
0.39577,0.0001,0.0,0.0
0.42191,0.0001,0.0,0.0
0.44978,0.0001,0.0,0.0
0.47949,0.0001,0.0,0.0
0.51116,0.0001,0.0,0.0
0.54492,0.0001,0.0,0.0
0.58091,0.0001,0.0,0.0
0.61928,0.0001,0.0,0.0
0.66019,0.0001,0.0,0.0
0.70379,0.0001,0.0,0.0
0.75028,0.0001,0.0,0.0
0.79983,0.0001,0.0,0.0
0.85266,0.0001,0.0,0.0
0.90898,0.0001,0.0,0.0
0.96902,0.0001,0.0,0.0
1.033,0.0001,0.0,0.0
1.1013,0.0001,0.0,0.0
1.174,0.0001,0.0,0.0
1.2515,0.0001,0.0,0.0
1.3342,0.0001,0.0,0.0
1.4223,0.0001,0.0,0.0
1.5163,0.0001,0.0,0.0
1.6164,0.0001,0.0,0.0
1.7232,0.0001,0.0,0.0
1.837,0.0001,0.0,0.0
1.9583,0.0001,0.0,0.0
2.0877,0.0001,0.0,0.0
2.2256,0.0001,0.0,0.0
2.3726,0.0001,0.0,0.0
2.5293,0.0001,0.0,0.0
2.6964,0.0001,0.0,0.0
2.8745,0.0001,0.0,0.0
3.0643,0.0001,0.0,0.0
3.2667,0.0001,0.0,0.0
3.4825,0.0001,0.0,0.0
3.7125,0.0001,0.0,0.0
3.9577,0.0001,0.0,0.0
4.2191,0.0001,0.0,0.0
4.4978,0.0001,0.0,0.0
4.7949,0.0001,0.0,0.0
5.1116,0.0001,0.0,0.0
5.4492,0.0001,0.0,0.0
5.8091,0.0001,0.0,0.0
6.1928,0.0001,0.0,0.0
6.6019,0.0001,0.0,0.0
7.0379,0.0001,0.0,0.0
7.5028,0.0001,0.0,0.0
7.9983,0.0001,0.0,0.0
8.5266,0.0001,0.0,0.0
9.0898,0.0001,0.0,0.0
9.6902,0.0001,0.0,0.0
10.33,0.0001,0.0,0.0
11.013,0.0001,0.0,0.0
11.74,0.0001,0.0,0.0
12.515,0.0001,0.0,0.0
13.342,0.0001,0.0,0.0
14.223,0.0001,0.0,0.0
15.163,0.0001,0.0,0.0
16.164,0.0001,0.0,0.0
17.232,0.0001,0.0,0.0
18.37,0.0001,0.0,0.0
19.583,0.0001,0.0,0.0
20.877,0.0001,0.0,0.0
22.256,0.0001,0.0,0.0
23.726,0.0001,0.0,0.0
25.293,0.0001,0.0,0.0
26.964,0.0001,0.0,0.0
28.745,0.0001,0.0,0.0
30.643,0.0001,0.0,0.0
32.667,0.0001,0.0,0.0
34.825,0.0001,0.0,0.0
37.125,0.0001,1313200000.0,1313200000.0
39.577,0.0001,0.0,0.0
42.191,0.0001,0.0,0.0
44.978,0.0001,0.0,0.0
47.949,0.0001,0.0,0.0
51.116,0.0001,0.0,0.0
54.492,0.0001,0.0,0.0
58.091,0.0001,0.0,0.0
61.928,0.0001,0.0,0.0
66.019,0.0001,0.0,0.0
70.379,0.0001,0.0,0.0
75.028,0.0001,0.0,0.0
79.983,0.0001,0.0,0.0
85.266,0.0001,0.0,0.0
90.898,0.0001,0.0,0.0
96.902,0.0001,12939000000.0,12446000000.0
103.3,0.0001,520520000.0,519120000.0
110.13,0.0001,8499500000.0,4307500000.0
117.4,0.0001,2165400000.0,2162400000.0
125.15,0.0001,13353000000.0,4979400000.0
133.42,0.0001,22385000000.0,5974500000.0
142.23,0.0001,21094000000.0,5499100000.0
151.63,0.0001,17730000000.0,4944900000.0
161.64,0.0001,37947000000.0,13141000000.0
172.32,0.0001,24764000000.0,5339200000.0
