E_eV,I_angstrom,f(E),s(E),f(I),s(I)
0.56234,0.38139,957570000000.0,0.0,2823800000000.0,0.0
0.63096,0.36005,886240000000.0,0.0,3106100000000.0,0.0
0.70795,0.33991,817240000000.0,0.0,3404200000000.0,0.0
0.79433,0.3209,738530000000.0,0.0,3656200000000.0,0.0
0.89125,0.30295,677570000000.0,0.0,3986800000000.0,0.0
1.0,0.286,620530000000.0,0.0,4339300000000.0,0.0
1.122,0.27,560220000000.0,0.0,4656100000000.0,0.0
1.2589,0.2549,500590000000.0,0.0,4944700000000.0,0.0
1.4125,0.24064,460580000000.0,0.0,5407200000000.0,0.0
1.5849,0.22718,410790000000.0,0.0,5731600000000.0,0.0
1.7783,0.21447,373140000000.0,0.0,6187700000000.0,0.0
1.9953,0.20247,337670000000.0,0.0,6655200000000.0,0.0
2.2387,0.19115,305660000000.0,0.0,7159800000000.0,0.0
2.5119,0.18045,264740000000.0,0.0,7370400000000.0,0.0
2.8184,0.17036,243540000000.0,0.0,8057900000000.0,0.0
3.1623,0.16083,232640000000.0,0.0,9148500000000.0,0.0
3.5481,0.15183,211560000000.0,0.0,9887700000000.0,0.0
3.9811,0.14334,190860000000.0,0.0,10602000000000.0,0.0
4.4668,0.13532,174980000000.0,0.0,11552000000000.0,0.0
5.0119,0.12775,158450000000.0,0.0,12433000000000.0,0.0
5.6234,0.12061,142190000000.0,0.0,13259000000000.0,0.0
6.3096,0.11386,124040000000.0,0.0,13747000000000.0,0.0
7.0795,0.10749,114290000000.0,0.0,15054000000000.0,0.0
7.9433,0.10148,101520000000.0,0.0,15894000000000.0,0.0
8.9125,0.0958,92137000000.0,0.0,17143000000000.0,0.0
10.0,0.090441,82758000000.0,0.0,18301000000000.0,0.0
11.22,0.085382,73443000000.0,0.0,19302000000000.0,0.0
12.589,0.080606,65559000000.0,0.0,20478000000000.0,0.0
14.125,0.076097,58646000000.0,0.0,21772000000000.0,0.0
15.849,0.07184,52726000000.0,0.0,23264000000000.0,0.0
17.783,0.067821,46501000000.0,0.0,24385000000000.0,0.0
19.953,0.064027,41693000000.0,0.0,25986000000000.0,0.0
22.387,0.060446,36686000000.0,0.0,27174000000000.0,0.0
25.119,0.057065,34591000000.0,0.0,30452000000000.0,0.0
28.184,0.053872,31257000000.0,0.0,32704000000000.0,0.0
31.623,0.050859,27987000000.0,0.0,34803000000000.0,0.0
35.481,0.048014,25014000000.0,0.0,36970000000000.0,0.0
39.811,0.045328,22783000000.0,0.0,40020000000000.0,0.0
44.668,0.042792,20316000000.0,0.0,42412000000000.0,0.0
50.119,0.040399,18169000000.0,0.0,45080000000000.0,0.0
56.234,0.038139,16213000000.0,0.0,47812000000000.0,0.0
63.096,0.036005,14674000000.0,0.0,51431000000000.0,0.0
70.795,0.033991,13244000000.0,0.0,55169000000000.0,0.0
79.433,0.03209,11735000000.0,0.0,58097000000000.0,0.0
89.125,0.030295,10610000000.0,0.0,62427000000000.0,0.0
100.0,0.0286,9501700000.0,0.0,66445000000000.0,0.0
112.2,0.027,8481600000.0,0.0,70492000000000.0,0.0
125.89,0.02549,7631500000.0,0.0,75383000000000.0,0.0
141.25,0.024064,6830000000.0,0.0,80183000000000.0,0.0
158.49,0.022718,6145200000.0,0.0,85744000000000.0,0.0
177.83,0.021447,5509500000.0,0.0,91364000000000.0,0.0
199.53,0.020247,4907400000.0,0.0,96720000000000.0,0.0
223.87,0.019115,4421400000.0,0.0,103570000000000.0,0.0
251.19,0.018045,3983500000.0,0.0,110900000000000.0,0.0
281.84,0.017036,3568200000.0,0.0,118060000000000.0,0.0
316.23,0.016083,3192400000.0,0.0,125540000000000.0,0.0
354.81,0.015183,2850100000.0,0.0,133210000000000.0,0.0
398.11,0.014334,2557200000.0,0.0,142040000000000.0,0.0
446.68,0.013532,2283400000.0,0.0,150750000000000.0,0.0
501.19,0.012775,2030400000.0,0.0,159310000000000.0,0.0
562.34,0.012061,1817600000.0,0.0,169500000000000.0,0.0
630.96,0.011386,1614100000.0,0.0,178890000000000.0,0.0
707.95,0.010749,1433300000.0,0.0,188800000000000.0,0.0
794.33,0.010148,1274800000.0,0.0,199570000000000.0,0.0
891.25,0.00958,1126600000.0,0.0,209630000000000.0,0.0
1000.0,0.0090441,986970000.0,0.0,218260000000000.0,0.0
1122.0,0.0085382,871260000.0,0.0,228990000000000.0,0.0
1258.9,0.0080606,763880000.0,0.0,238610000000000.0,0.0
1412.5,0.0076097,669070000.0,0.0,248390000000000.0,0.0
1584.9,0.007184,584380000.0,0.0,257850000000000.0,0.0
1778.3,0.0067821,508530000.0,0.0,266670000000000.0,0.0
1995.3,0.0064027,440740000.0,0.0,274700000000000.0,0.0
2238.7,0.0060446,381100000.0,0.0,282290000000000.0,0.0
2511.9,0.0057064,328750000.0,0.0,289420000000000.0,0.0
2818.4,0.0053872,281280000.0,0.0,294310000000000.0,0.0
3162.3,0.0050859,241780000.0,0.0,300670000000000.0,0.0
3548.1,0.0048014,206300000.0,0.0,304910000000000.0,0.0
3981.1,0.0045328,176890000.0,0.0,310710000000000.0,0.0
4466.8,0.0042792,150470000.0,0.0,314130000000000.0,0.0
5011.9,0.0040399,129180000.0,0.0,320530000000000.0,0.0
5623.4,0.0038139,106150000.0,0.0,313020000000000.0,0.0
6309.6,0.0036005,92684000.0,0.0,324840000000000.0,0.0
7079.5,0.0033991,79074000.0,0.0,329380000000000.0,0.0
7943.3,0.003209,67594000.0,0.0,334640000000000.0,0.0
8912.5,0.0030295,57462000.0,0.0,338100000000000.0,0.0
10000.0,0.00286,49298000.0,0.0,344740000000000.0,0.0
11220.0,0.0027,41553000.0,0.0,345360000000000.0,0.0
12589.0,0.002549,35122000.0,0.0,346930000000000.0,0.0
14125.0,0.0024064,29682000.0,0.0,348470000000000.0,0.0
15849.0,0.0022718,25109000.0,0.0,350350000000000.0,0.0
17783.0,0.0021447,21653000.0,0.0,359080000000000.0,0.0
19953.0,0.0020247,18250000.0,0.0,359680000000000.0,0.0
22387.0,0.0019115,15843000.0,0.0,371110000000000.0,0.0
25119.0,0.0018045,14083000.0,0.0,392070000000000.0,0.0
28184.0,0.0017036,14971000.0,0.0,495360000000000.0,0.0
31623.0,0.0016083,13425000.0,0.0,527930000000000.0,0.0
35481.0,0.0015183,6306000.0,0.0,294730000000000.0,0.0
39811.0,0.0014334,7272900.0,0.0,403990000000000.0,0.0
44668.0,0.0013532,6541300.0,0.0,431850000000000.0,0.0
50119.0,0.0012775,5547400.0,0.0,435270000000000.0,0.0
56234.0,0.0012061,4816600.0,0.0,449160000000000.0,0.0
63096.0,0.0011386,4458700.0,0.0,494160000000000.0,0.0
70795.0,0.0010749,4557000.0,0.0,600270000000000.0,0.0
79433.0,0.0010148,3654900.0,0.0,572190000000000.0,0.0
89125.0,0.000958,2135900.0,0.0,397420000000000.0,0.0
100000.0,0.00090441,2165300.0,0.0,478820000000000.0,0.0
112200.0,0.00085382,2033100.0,0.0,534350000000000.0,0.0
125890.0,0.00080606,1833500.0,0.0,572720000000000.0,0.0
141250.0,0.00076097,1369000.0,0.0,508230000000000.0,0.0
158490.0,0.0007184,961430.0,0.0,424210000000000.0,0.0
177830.0,0.00067821,835970.0,0.0,438380000000000.0,0.0
199530.0,0.00064027,643890.0,0.0,401310000000000.0,0.0
223870.0,0.00060446,464390.0,0.0,343990000000000.0,0.0
251190.0,0.00057065,378480.0,0.0,333200000000000.0,0.0
281840.0,0.00053872,280110.0,0.0,293080000000000.0,0.0
316230.0,0.00050859,171330.0,0.0,213060000000000.0,0.0
354810.0,0.00048014,114430.0,0.0,169130000000000.0,0.0
398110.0,0.00045328,74919.0,0.0,131600000000000.0,0.0
446680.0,0.00042792,47212.0,0.0,98564000000000.0,0.0
501190.0,0.00040399,30758.0,0.0,76317000000000.0,0.0
562340.0,0.00038139,20062.0,0.0,59162000000000.0,0.0
630960.0,0.00036005,12339.0,0.0,43247000000000.0,0.0
707950.0,0.00033991,7143.9,0.0,29758000000000.0,0.0
794330.0,0.0003209,4126.7,0.0,20430000000000.0,0.0
891250.0,0.00030295,2497.7,0.0,14696000000000.0,0.0
1000000.0,0.000286,1838.8,0.0,12859000000000.0,0.0
