t_us,E_eV,f,s
0.05,100.0,0.0,0.0
0.1033,100.0,0.0,0.0
0.11013,100.0,443160.0,443160.0
0.1174,100.0,415280.0,415280.0
0.12515,100.0,6871200.0,2670100.0
0.13342,100.0,65288000.0,15049000.0
0.14223,100.0,260570000.0,33692000.0
0.15163,100.0,522210000.0,46790000.0
0.16164,100.0,1025500000.0,67788000.0
0.17232,100.0,2032200000.0,98763000.0
0.1837,100.0,3163500000.0,117680000.0
0.19583,100.0,4888000000.0,148110000.0
0.20877,100.0,6924500000.0,175190000.0
0.22256,100.0,9350700000.0,195430000.0
0.23726,100.0,11827000000.0,217620000.0
0.25293,100.0,14926000000.0,237330000.0
0.26964,100.0,17119000000.0,246510000.0
0.28745,100.0,19588000000.0,252680000.0
0.30643,100.0,21189000000.0,254270000.0
0.32667,100.0,22374000000.0,255070000.0
0.34825,100.0,21892000000.0,243010000.0
0.37125,100.0,21850000000.0,231610000.0
0.39577,100.0,20926000000.0,217630000.0
0.42191,100.0,20144000000.0,203450000.0
0.44978,100.0,18314000000.0,181310000.0
0.47949,100.0,16909000000.0,169090000.0
0.51116,100.0,14918000000.0,153650000.0
0.54492,100.0,12375000000.0,132410000.0
0.58091,100.0,10365000000.0,117130000.0
0.61928,100.0,8554200000.0,104360000.0
0.66019,100.0,6861300000.0,90570000.0
0.70379,100.0,5624300000.0,78741000.0
0.75028,100.0,4579000000.0,67769000.0
0.79983,100.0,3842700000.0,60331000.0
0.85266,100.0,3047700000.0,50897000.0
0.90898,100.0,2601900000.0,45794000.0
0.96902,100.0,2168300000.0,40331000.0
1.033,100.0,1800100000.0,34563000.0
1.1013,100.0,1496600000.0,29632000.0
1.174,100.0,1285200000.0,26474000.0
1.2515,100.0,1080700000.0,23776000.0
1.3342,100.0,912340000.0,21166000.0
1.4223,100.0,768260000.0,18438000.0
1.5163,100.0,674820000.0,17545000.0
1.6164,100.0,520990000.0,13963000.0
1.7232,100.0,451360000.0,12006000.0
1.837,100.0,341950000.0,9916500.0
1.9583,100.0,297280000.0,9215600.0
2.0877,100.0,240990000.0,7904500.0
2.2256,100.0,185070000.0,6958500.0
2.3726,100.0,158930000.0,5848700.0
2.5293,100.0,128990000.0,4837300.0
2.6964,100.0,94779000.0,4113400.0
2.8745,100.0,77974000.0,3462000.0
3.0643,100.0,66738000.0,3210100.0
3.2667,100.0,51515000.0,2797300.0
3.4825,100.0,37063000.0,2190400.0
3.7125,100.0,30623000.0,2109900.0
3.9577,100.0,21278000.0,1646900.0
4.2191,100.0,16678000.0,1536000.0
4.4978,100.0,10380000.0,853200.0
4.7949,100.0,7913900.0,1166500.0
5.1116,100.0,5667300.0,719180.0
5.4492,100.0,5656800.0,730290.0
