t_us,E_eV,f,s
0.05,1.2589e-05,0.0,0.0
0.1033,1.2589e-05,0.0,0.0
0.11013,1.2589e-05,0.0,0.0
0.1174,1.2589e-05,0.0,0.0
0.12515,1.2589e-05,0.0,0.0
0.13342,1.2589e-05,0.0,0.0
0.14223,1.2589e-05,0.0,0.0
0.15163,1.2589e-05,0.0,0.0
0.16164,1.2589e-05,0.0,0.0
0.17232,1.2589e-05,0.0,0.0
0.1837,1.2589e-05,0.0,0.0
0.19583,1.2589e-05,0.0,0.0
0.20877,1.2589e-05,0.0,0.0
0.22256,1.2589e-05,0.0,0.0
0.23726,1.2589e-05,0.0,0.0
0.25293,1.2589e-05,0.0,0.0
0.26964,1.2589e-05,0.0,0.0
0.28745,1.2589e-05,0.0,0.0
0.30643,1.2589e-05,0.0,0.0
0.32667,1.2589e-05,0.0,0.0
0.34825,1.2589e-05,0.0,0.0
0.37125,1.2589e-05,0.0,0.0
0.39577,1.2589e-05,0.0,0.0
0.42191,1.2589e-05,0.0,0.0
0.44978,1.2589e-05,0.0,0.0
0.47949,1.2589e-05,0.0,0.0
0.51116,1.2589e-05,0.0,0.0
0.54492,1.2589e-05,0.0,0.0
0.58091,1.2589e-05,0.0,0.0
0.61928,1.2589e-05,0.0,0.0
0.66019,1.2589e-05,0.0,0.0
0.70379,1.2589e-05,0.0,0.0
0.75028,1.2589e-05,0.0,0.0
0.79983,1.2589e-05,0.0,0.0
0.85266,1.2589e-05,0.0,0.0
0.90898,1.2589e-05,0.0,0.0
0.96902,1.2589e-05,0.0,0.0
1.033,1.2589e-05,0.0,0.0
1.1013,1.2589e-05,0.0,0.0
1.174,1.2589e-05,0.0,0.0
1.2515,1.2589e-05,0.0,0.0
1.3342,1.2589e-05,0.0,0.0
1.4223,1.2589e-05,0.0,0.0
1.5163,1.2589e-05,0.0,0.0
1.6164,1.2589e-05,0.0,0.0
1.7232,1.2589e-05,0.0,0.0
1.837,1.2589e-05,0.0,0.0
1.9583,1.2589e-05,0.0,0.0
2.0877,1.2589e-05,0.0,0.0
2.2256,1.2589e-05,0.0,0.0
2.3726,1.2589e-05,0.0,0.0
2.5293,1.2589e-05,0.0,0.0
2.6964,1.2589e-05,0.0,0.0
2.8745,1.2589e-05,0.0,0.0
3.0643,1.2589e-05,0.0,0.0
3.2667,1.2589e-05,0.0,0.0
3.4825,1.2589e-05,0.0,0.0
3.7125,1.2589e-05,0.0,0.0
3.9577,1.2589e-05,0.0,0.0
4.2191,1.2589e-05,0.0,0.0
4.4978,1.2589e-05,0.0,0.0
4.7949,1.2589e-05,0.0,0.0
5.1116,1.2589e-05,0.0,0.0
5.4492,1.2589e-05,0.0,0.0
5.8091,1.2589e-05,0.0,0.0
6.1928,1.2589e-05,0.0,0.0
6.6019,1.2589e-05,0.0,0.0
7.0379,1.2589e-05,0.0,0.0
7.5028,1.2589e-05,0.0,0.0
7.9983,1.2589e-05,0.0,0.0
8.5266,1.2589e-05,0.0,0.0
9.0898,1.2589e-05,0.0,0.0
9.6902,1.2589e-05,0.0,0.0
10.33,1.2589e-05,0.0,0.0
11.013,1.2589e-05,0.0,0.0
11.74,1.2589e-05,0.0,0.0
12.515,1.2589e-05,0.0,0.0
13.342,1.2589e-05,0.0,0.0
14.223,1.2589e-05,0.0,0.0
15.163,1.2589e-05,0.0,0.0
