t_us,E_eV,f,s
0.05,707.95,0.0,0.0
0.1033,707.95,3271800000.0,65437000.0
0.11013,707.95,4262100000.0,73308000.0
0.1174,707.95,5191400000.0,78390000.0
0.12515,707.95,5949900000.0,82109000.0
0.13342,707.95,6709500000.0,83869000.0
0.14223,707.95,6951600000.0,81334000.0
0.15163,707.95,7427400000.0,81701000.0
0.16164,707.95,7456400000.0,77547000.0
0.17232,707.95,7334900000.0,74082000.0
0.1837,707.95,7113100000.0,69709000.0
0.19583,707.95,6668600000.0,65352000.0
0.20877,707.95,6008200000.0,58881000.0
0.22256,707.95,5335900000.0,53359000.0
0.23726,707.95,4680500000.0,48678000.0
0.25293,707.95,3898100000.0,42489000.0
0.26964,707.95,3298300000.0,37271000.0
0.28745,707.95,2810900000.0,33168000.0
0.30643,707.95,2368200000.0,30076000.0
0.32667,707.95,1900300000.0,25274000.0
0.34825,707.95,1661000000.0,22922000.0
0.37125,707.95,1336100000.0,19373000.0
0.39577,707.95,1122400000.0,17398000.0
0.42191,707.95,921050000.0,15105000.0
0.44978,707.95,767440000.0,13046000.0
0.47949,707.95,637830000.0,11800000.0
0.51116,707.95,530750000.0,10190000.0
0.54492,707.95,434220000.0,8641000.0
0.58091,707.95,382220000.0,8064900.0
0.61928,707.95,299560000.0,6590300.0
0.66019,707.95,255210000.0,5946500.0
0.70379,707.95,205320000.0,5009900.0
0.75028,707.95,166880000.0,4288900.0
0.79983,707.95,133670000.0,3515500.0
0.85266,707.95,108850000.0,3047800.0
0.90898,707.95,84943000.0,2599200.0
0.96902,707.95,69329000.0,2357200.0
1.033,707.95,56139000.0,1976100.0
1.1013,707.95,46284000.0,1883700.0
1.174,707.95,36400000.0,1612500.0
1.2515,707.95,28784000.0,1364300.0
1.3342,707.95,20140000.0,1055300.0
1.4223,707.95,16439000.0,938670.0
1.5163,707.95,12190000.0,787480.0
1.6164,707.95,8873200.0,623790.0
1.7232,707.95,7034000.0,524730.0
1.837,707.95,4102800.0,325760.0
1.9583,707.95,3605800.0,325240.0
2.0877,707.95,2264200.0,243170.0
2.2256,707.95,1940700.0,223370.0
2.3726,707.95,1731000.0,240600.0
2.5293,707.95,865450.0,171960.0
2.6964,707.95,602560.0,156730.0
2.8745,707.95,460810.0,94466.0
3.0643,707.95,280090.0,69519.0
3.2667,707.95,339980.0,104140.0
3.4825,707.95,283400.0,67392.0
3.7125,707.95,239070.0,76382.0
3.9577,707.95,203910.0,59175.0
4.2191,707.95,125990.0,33526.0
4.4978,707.95,116230.0,37750.0
4.7949,707.95,100790.0,24412.0
5.1116,707.95,129510.0,40588.0
5.4492,707.95,146650.0,44553.0
