t_us,E_eV,f,s
0.05,0.0063096,0.0,0.0
0.1033,0.0063096,0.0,0.0
0.11013,0.0063096,0.0,0.0
0.1174,0.0063096,0.0,0.0
0.12515,0.0063096,0.0,0.0
0.13342,0.0063096,0.0,0.0
0.14223,0.0063096,0.0,0.0
0.15163,0.0063096,0.0,0.0
0.16164,0.0063096,0.0,0.0
0.17232,0.0063096,0.0,0.0
0.1837,0.0063096,0.0,0.0
0.19583,0.0063096,0.0,0.0
0.20877,0.0063096,0.0,0.0
0.22256,0.0063096,0.0,0.0
0.23726,0.0063096,0.0,0.0
0.25293,0.0063096,0.0,0.0
0.26964,0.0063096,0.0,0.0
0.28745,0.0063096,0.0,0.0
0.30643,0.0063096,0.0,0.0
0.32667,0.0063096,0.0,0.0
0.34825,0.0063096,0.0,0.0
0.37125,0.0063096,0.0,0.0
0.39577,0.0063096,0.0,0.0
0.42191,0.0063096,0.0,0.0
0.44978,0.0063096,0.0,0.0
0.47949,0.0063096,0.0,0.0
0.51116,0.0063096,0.0,0.0
0.54492,0.0063096,0.0,0.0
0.58091,0.0063096,0.0,0.0
0.61928,0.0063096,0.0,0.0
0.66019,0.0063096,0.0,0.0
0.70379,0.0063096,0.0,0.0
0.75028,0.0063096,0.0,0.0
0.79983,0.0063096,0.0,0.0
0.85266,0.0063096,0.0,0.0
0.90898,0.0063096,0.0,0.0
0.96902,0.0063096,0.0,0.0
1.033,0.0063096,0.0,0.0
1.1013,0.0063096,0.0,0.0
1.174,0.0063096,0.0,0.0
1.2515,0.0063096,0.0,0.0
1.3342,0.0063096,0.0,0.0
1.4223,0.0063096,0.0,0.0
1.5163,0.0063096,0.0,0.0
1.6164,0.0063096,0.0,0.0
1.7232,0.0063096,0.0,0.0
1.837,0.0063096,0.0,0.0
1.9583,0.0063096,0.0,0.0
2.0877,0.0063096,0.0,0.0
2.2256,0.0063096,0.0,0.0
2.3726,0.0063096,0.0,0.0
2.5293,0.0063096,0.0,0.0
2.6964,0.0063096,0.0,0.0
2.8745,0.0063096,0.0,0.0
3.0643,0.0063096,0.0,0.0
3.2667,0.0063096,0.0,0.0
3.4825,0.0063096,0.0,0.0
3.7125,0.0063096,0.0,0.0
3.9577,0.0063096,0.0,0.0
4.2191,0.0063096,0.0,0.0
4.4978,0.0063096,0.0,0.0
4.7949,0.0063096,0.0,0.0
5.1116,0.0063096,0.0,0.0
5.4492,0.0063096,0.0,0.0
5.8091,0.0063096,0.0,0.0
6.1928,0.0063096,0.0,0.0
6.6019,0.0063096,0.0,0.0
7.0379,0.0063096,0.0,0.0
7.5028,0.0063096,0.0,0.0
7.9983,0.0063096,0.0,0.0
8.5266,0.0063096,0.0,0.0
9.0898,0.0063096,0.0,0.0
9.6902,0.0063096,0.0,0.0
10.33,0.0063096,0.0,0.0
11.013,0.0063096,0.0,0.0
11.74,0.0063096,0.0,0.0
12.515,0.0063096,5888000.0,3041200.0
13.342,0.0063096,1307800000.0,586540000.0
14.223,0.0063096,9277600000.0,1969600000.0
15.163,0.0063096,32886000000.0,3956200000.0
16.164,0.0063096,58451000000.0,4991700000.0
17.232,0.0063096,106440000000.0,6354500000.0
18.37,0.0063096,164710000000.0,7724900000.0
19.583,0.0063096,254880000000.0,9124900000.0
20.877,0.0063096,376900000000.0,10855000000.0
22.256,0.0063096,519340000000.0,12360000000.0
23.726,0.0063096,644710000000.0,13603000000.0
25.293,0.0063096,818560000000.0,14488000000.0
26.964,0.0063096,983090000000.0,15336000000.0
28.745,0.0063096,1134600000000.0,15885000000.0
30.643,0.0063096,1256200000000.0,16206000000.0
32.667,0.0063096,1356500000000.0,16142000000.0
34.825,0.0063096,1431400000000.0,16032000000.0
37.125,0.0063096,1415500000000.0,15146000000.0
39.577,0.0063096,1323400000000.0,14029000000.0
42.191,0.0063096,1094900000000.0,12263000000.0
44.978,0.0063096,833220000000.0,10249000000.0
47.949,0.0063096,630780000000.0,8578700000.0
51.116,0.0063096,468110000000.0,7068500000.0
54.492,0.0063096,341270000000.0,5869800000.0
58.091,0.0063096,258800000000.0,4968900000.0
61.928,0.0063096,192900000000.0,4108700000.0
66.019,0.0063096,153690000000.0,3780900000.0
