t_us,E_eV,f,s
0.05,112.2,0.0,0.0
0.1033,112.2,0.0,0.0
0.11013,112.2,9360.4,9360.4
0.1174,112.2,5688900.0,3327400.0
0.12515,112.2,31462000.0,9599100.0
0.13342,112.2,182020000.0,32199000.0
0.14223,112.2,412750000.0,35951000.0
0.15163,112.2,868790000.0,63856000.0
0.16164,112.2,1501100000.0,82713000.0
0.17232,112.2,2708000000.0,106420000.0
0.1837,112.2,4188400000.0,130680000.0
0.19583,112.2,5999600000.0,155390000.0
0.20877,112.2,8317300000.0,186310000.0
0.22256,112.2,10644000000.0,201160000.0
0.23726,112.2,13072000000.0,215680000.0
0.25293,112.2,15600000000.0,227760000.0
0.26964,112.2,17277000000.0,229790000.0
0.28745,112.2,19831000000.0,241940000.0
0.30643,112.2,20637000000.0,237330000.0
0.32667,112.2,21373000000.0,232970000.0
0.34825,112.2,20624000000.0,220680000.0
0.37125,112.2,19940000000.0,207380000.0
0.39577,112.2,19240000000.0,192400000.0
0.42191,112.2,17945000000.0,177650000.0
0.44978,112.2,16261000000.0,164240000.0
0.47949,112.2,14057000000.0,143380000.0
0.51116,112.2,12183000000.0,127920000.0
0.54492,112.2,10020000000.0,113230000.0
0.58091,112.2,8284300000.0,99412000.0
0.61928,112.2,6762700000.0,85211000.0
0.66019,112.2,5459900000.0,74801000.0
0.70379,112.2,4567400000.0,67140000.0
0.75028,112.2,3722300000.0,56951000.0
0.79983,112.2,3084300000.0,50582000.0
0.85266,112.2,2441600000.0,42728000.0
0.90898,112.2,2128100000.0,38732000.0
0.96902,112.2,1770400000.0,33815000.0
1.033,112.2,1514900000.0,29843000.0
1.1013,112.2,1232800000.0,25888000.0
1.174,112.2,1053300000.0,23382000.0
1.2515,112.2,878450000.0,19502000.0
1.3342,112.2,725120000.0,17185000.0
1.4223,112.2,629210000.0,15604000.0
1.5163,112.2,518320000.0,13632000.0
1.6164,112.2,437330000.0,11808000.0
1.7232,112.2,345000000.0,9798100.0
1.837,112.2,290860000.0,8842200.0
1.9583,112.2,226860000.0,7123400.0
2.0877,112.2,209290000.0,7471700.0
2.2256,112.2,145590000.0,5124900.0
2.3726,112.2,121000000.0,4549500.0
2.5293,112.2,99174000.0,4066100.0
2.6964,112.2,78481000.0,3720000.0
2.8745,112.2,57764000.0,2940200.0
3.0643,112.2,49287000.0,2651600.0
3.2667,112.2,34093000.0,1997800.0
3.4825,112.2,29625000.0,2073700.0
3.7125,112.2,24069000.0,1863000.0
3.9577,112.2,17327000.0,1382700.0
4.2191,112.2,11909000.0,1148000.0
4.4978,112.2,7999400.0,811140.0
4.7949,112.2,6566600.0,729550.0
5.1116,112.2,3901600.0,502910.0
5.4492,112.2,3125900.0,580170.0
5.8091,112.2,2653000.0,453130.0
6.1928,112.2,1620400.0,301400.0
6.6019,112.2,1448600.0,276530.0
7.0379,112.2,990250.0,198740.0
7.5028,112.2,878620.0,201910.0
7.9983,112.2,884210.0,236880.0
8.5266,112.2,711420.0,170950.0
9.0898,112.2,384910.0,111200.0
9.6902,112.2,432040.0,127190.0
10.33,112.2,467210.0,111940.0
11.013,112.2,532860.0,178560.0
11.74,112.2,326120.0,84010.0
12.515,112.2,269800.0,72198.0
13.342,112.2,405880.0,122130.0
14.223,112.2,125210.0,51185.0
15.163,112.2,91661.0,28085.0
16.164,112.2,36440.0,24834.0
17.232,112.2,14272.0,5999.8
18.37,112.2,11196.0,9141.8
19.583,112.2,3846.1,2862.3
20.877,112.2,0.0,0.0
22.256,112.2,0.0,0.0
23.726,112.2,0.0,0.0
25.293,112.2,0.0,0.0
26.964,112.2,0.0,0.0
28.745,112.2,0.0,0.0
30.643,112.2,0.0,0.0
32.667,112.2,0.0,0.0
34.825,112.2,0.0,0.0
37.125,112.2,0.0,0.0
39.577,112.2,0.0,0.0
42.191,112.2,0.0,0.0
44.978,112.2,0.0,0.0
47.949,112.2,0.0,0.0
51.116,112.2,0.0,0.0
54.492,112.2,0.0,0.0
58.091,112.2,0.0,0.0
61.928,112.2,0.0,0.0
66.019,112.2,0.0,0.0
70.379,112.2,0.0,0.0
75.028,112.2,0.0,0.0
79.983,112.2,0.0,0.0
85.266,112.2,0.0,0.0
90.898,112.2,0.0,0.0
96.902,112.2,0.0,0.0
103.3,112.2,0.0,0.0
110.13,112.2,0.0,0.0
117.4,112.2,0.0,0.0
125.15,112.2,0.0,0.0
133.42,112.2,0.0,0.0
142.23,112.2,0.0,0.0
151.63,112.2,0.0,0.0
161.64,112.2,0.0,0.0
172.32,112.2,0.0,0.0
183.7,112.2,0.0,0.0
195.83,112.2,0.0,0.0
208.77,112.2,0.0,0.0
222.56,112.2,0.0,0.0
237.26,112.2,0.0,0.0
252.93,112.2,0.0,0.0
269.64,112.2,0.0,0.0
287.45,112.2,0.0,0.0
306.43,112.2,0.0,0.0
326.67,112.2,0.0,0.0
348.25,112.2,0.0,0.0
371.25,112.2,0.0,0.0
395.77,112.2,0.0,0.0
421.91,112.2,0.0,0.0
449.78,112.2,0.0,0.0
479.49,112.2,0.0,0.0
511.16,112.2,0.0,0.0
544.92,112.2,0.0,0.0
580.91,112.2,0.0,0.0
619.28,112.2,0.0,0.0
660.19,112.2,0.0,0.0
703.79,112.2,0.0,0.0
750.28,112.2,0.0,0.0
799.83,112.2,0.0,0.0
852.66,112.2,0.0,0.0
908.98,112.2,0.0,0.0
969.02,112.2,0.0,0.0
1033.0,112.2,0.0,0.0
1101.3,112.2,0.0,0.0
1174.0,112.2,0.0,0.0
1251.5,112.2,0.0,0.0
1334.2,112.2,0.0,0.0
1422.3,112.2,0.0,0.0
1516.3,112.2,0.0,0.0
1616.4,112.2,0.0,0.0
1723.2,112.2,0.0,0.0
1837.0,112.2,0.0,0.0
1958.3,112.2,0.0,0.0
2087.7,112.2,0.0,0.0
2225.6,112.2,0.0,0.0
2372.6,112.2,0.0,0.0
2529.3,112.2,0.0,0.0
2696.4,112.2,0.0,0.0
2874.5,112.2,0.0,0.0
3064.3,112.2,0.0,0.0
3266.7,112.2,0.0,0.0
3482.5,112.2,0.0,0.0
3712.5,112.2,0.0,0.0
3957.7,112.2,0.0,0.0
4219.1,112.2,0.0,0.0
4497.8,112.2,0.0,0.0
4794.9,112.2,0.0,0.0
5111.6,112.2,0.0,0.0
5449.2,112.2,0.0,0.0
5809.1,112.2,0.0,0.0
6192.8,112.2,0.0,0.0
6601.9,112.2,0.0,0.0
7037.9,112.2,0.0,0.0
7502.8,112.2,0.0,0.0
7998.3,112.2,0.0,0.0
8526.6,112.2,0.0,0.0
