t_us,E_eV,f,s
0.05,28.184,0.0,0.0
0.1033,28.184,0.0,0.0
0.11013,28.184,0.0,0.0
0.1174,28.184,0.0,0.0
0.12515,28.184,0.0,0.0
0.13342,28.184,0.0,0.0
0.14223,28.184,0.0,0.0
0.15163,28.184,0.0,0.0
0.16164,28.184,0.0,0.0
0.17232,28.184,0.0,0.0
0.1837,28.184,0.0,0.0
0.19583,28.184,1484.2,1484.2
0.20877,28.184,4020500.0,3284400.0
0.22256,28.184,20499000.0,8297800.0
0.23726,28.184,246770000.0,45825000.0
0.25293,28.184,565210000.0,68277000.0
0.26964,28.184,1160600000.0,110490000.0
0.28745,28.184,2905900000.0,172320000.0
0.30643,28.184,4909200000.0,211590000.0
0.32667,28.184,7039700000.0,244980000.0
0.34825,28.184,11370000000.0,326310000.0
0.37125,28.184,14741000000.0,356740000.0
0.39577,28.184,20508000000.0,412220000.0
0.42191,28.184,25471000000.0,458470000.0
0.44978,28.184,30155000000.0,476450000.0
0.47949,28.184,35445000000.0,503310000.0
0.51116,28.184,38903000000.0,505730000.0
0.54492,28.184,41468000000.0,501760000.0
0.58091,28.184,43000000000.0,490190000.0
0.61928,28.184,42105000000.0,471570000.0
0.66019,28.184,40739000000.0,439980000.0
0.70379,28.184,39574000000.0,419480000.0
0.75028,28.184,36814000000.0,386540000.0
0.79983,28.184,33636000000.0,349820000.0
0.85266,28.184,29685000000.0,311690000.0
0.90898,28.184,25803000000.0,281250000.0
0.96902,28.184,21949000000.0,248020000.0
1.033,28.184,18383000000.0,218750000.0
1.1013,28.184,14498000000.0,187030000.0
1.174,28.184,12173000000.0,167980000.0
1.2515,28.184,9619200000.0,144290000.0
1.3342,28.184,7829400000.0,123700000.0
1.4223,28.184,6335200000.0,104530000.0
1.5163,28.184,5156800000.0,91791000.0
1.6164,28.184,4409500000.0,82016000.0
1.7232,28.184,3629500000.0,73316000.0
1.837,28.184,3067800000.0,62890000.0
1.9583,28.184,2572400000.0,54278000.0
2.0877,28.184,2217700000.0,50784000.0
2.2256,28.184,1907400000.0,45778000.0
2.3726,28.184,1596300000.0,38631000.0
2.5293,28.184,1329600000.0,33374000.0
2.6964,28.184,1143000000.0,29605000.0
2.8745,28.184,910440000.0,24491000.0
3.0643,28.184,804240000.0,22840000.0
3.2667,28.184,643070000.0,18971000.0
3.4825,28.184,547680000.0,17361000.0
3.7125,28.184,448590000.0,15162000.0
3.9577,28.184,389170000.0,14477000.0
4.2191,28.184,304380000.0,11171000.0
4.4978,28.184,249550000.0,10431000.0
4.7949,28.184,204720000.0,9150900.0
