t_us,E_eV,f,s
0.05,50.119,0.0,0.0
0.1033,50.119,0.0,0.0
0.11013,50.119,0.0,0.0
0.1174,50.119,0.0,0.0
0.12515,50.119,0.0,0.0
0.13342,50.119,0.0,0.0
0.14223,50.119,0.0,0.0
0.15163,50.119,606.69,606.69
0.16164,50.119,1244600.0,851520.0
0.17232,50.119,34970000.0,13547000.0
0.1837,50.119,123600000.0,24967000.0
0.19583,50.119,466440000.0,50469000.0
0.20877,50.119,998450000.0,80475000.0
0.22256,50.119,1944500000.0,107720000.0
0.23726,50.119,3260000000.0,148010000.0
0.25293,50.119,5349600000.0,187770000.0
0.26964,50.119,7922700000.0,227380000.0
0.28745,50.119,11439000000.0,267670000.0
0.30643,50.119,15204000000.0,308640000.0
0.32667,50.119,18861000000.0,330070000.0
0.34825,50.119,21975000000.0,338420000.0
0.37125,50.119,26410000000.0,367090000.0
0.39577,50.119,28913000000.0,372980000.0
0.42191,50.119,31520000000.0,375090000.0
0.44978,50.119,31738000000.0,361810000.0
0.47949,50.119,31667000000.0,348340000.0
0.51116,50.119,30821000000.0,329780000.0
0.54492,50.119,29235000000.0,306970000.0
0.58091,50.119,27820000000.0,286540000.0
0.61928,50.119,25638000000.0,261510000.0
0.66019,50.119,22421000000.0,230940000.0
0.70379,50.119,19498000000.0,210580000.0
0.75028,50.119,16483000000.0,182960000.0
0.79983,50.119,13608000000.0,161940000.0
0.85266,50.119,10836000000.0,139790000.0
0.90898,50.119,8816000000.0,119900000.0
0.96902,50.119,7217500000.0,106820000.0
1.033,50.119,6081500000.0,94263000.0
1.1013,50.119,4825500000.0,80586000.0
1.174,50.119,4042200000.0,69930000.0
1.2515,50.119,3474800000.0,63937000.0
1.3342,50.119,2928200000.0,56807000.0
1.4223,50.119,2388300000.0,47527000.0
1.5163,50.119,1919700000.0,41082000.0
1.6164,50.119,1673000000.0,37308000.0
1.7232,50.119,1478700000.0,34454000.0
1.837,50.119,1233500000.0,29975000.0
1.9583,50.119,1017800000.0,25546000.0
2.0877,50.119,865100000.0,22579000.0
2.2256,50.119,672440000.0,18492000.0
2.3726,50.119,600840000.0,16643000.0
2.5293,50.119,500570000.0,15468000.0
2.6964,50.119,405580000.0,13100000.0
2.8745,50.119,309050000.0,10570000.0
3.0643,50.119,280190000.0,10395000.0
3.2667,50.119,225170000.0,8714200.0
3.4825,50.119,179200000.0,7382900.0
3.7125,50.119,148950000.0,6539100.0
3.9577,50.119,110640000.0,5244400.0
4.2191,50.119,84165000.0,4654300.0
4.4978,50.119,67831000.0,4002000.0
4.7949,50.119,54138000.0,3264500.0
5.1116,50.119,37346000.0,2737500.0
5.4492,50.119,32345000.0,2490600.0
5.8091,50.119,21872000.0,1859100.0
6.1928,50.119,17070000.0,1572200.0
6.6019,50.119,14872000.0,1508000.0
7.0379,50.119,11382000.0,1430700.0
7.5028,50.119,7285300.0,1039600.0
7.9983,50.119,5578300.0,812750.0
8.5266,50.119,3877600.0,551010.0
9.0898,50.119,3796000.0,697710.0
9.6902,50.119,2588700.0,468810.0
10.33,50.119,1031200.0,252650.0
11.013,50.119,1943500.0,471290.0
11.74,50.119,1126500.0,236220.0
12.515,50.119,1169100.0,351090.0
13.342,50.119,592840.0,184490.0
14.223,50.119,403470.0,111440.0
15.163,50.119,749450.0,268080.0
16.164,50.119,392830.0,111960.0
17.232,50.119,631250.0,188490.0
18.37,50.119,169790.0,44536.0
19.583,50.119,186880.0,55764.0
20.877,50.119,335000.0,162210.0
22.256,50.119,183890.0,72325.0
23.726,50.119,193700.0,101050.0
25.293,50.119,28284.0,22930.0
26.964,50.119,31533.0,25009.0
28.745,50.119,0.0,0.0
30.643,50.119,0.0,0.0
32.667,50.119,2977.7,2977.7
34.825,50.119,0.0,0.0
37.125,50.119,0.0,0.0
39.577,50.119,0.0,0.0
42.191,50.119,0.0,0.0
44.978,50.119,0.0,0.0
47.949,50.119,0.0,0.0
51.116,50.119,0.0,0.0
54.492,50.119,0.0,0.0
58.091,50.119,0.0,0.0
61.928,50.119,0.0,0.0
66.019,50.119,0.0,0.0
70.379,50.119,0.0,0.0
75.028,50.119,0.0,0.0
79.983,50.119,0.0,0.0
85.266,50.119,0.0,0.0
90.898,50.119,0.0,0.0
96.902,50.119,0.0,0.0
103.3,50.119,0.0,0.0
110.13,50.119,0.0,0.0
117.4,50.119,0.0,0.0
125.15,50.119,0.0,0.0
133.42,50.119,0.0,0.0
142.23,50.119,0.0,0.0
151.63,50.119,0.0,0.0
161.64,50.119,0.0,0.0
172.32,50.119,0.0,0.0
183.7,50.119,0.0,0.0
195.83,50.119,0.0,0.0
208.77,50.119,0.0,0.0
222.56,50.119,0.0,0.0
237.26,50.119,0.0,0.0
252.93,50.119,0.0,0.0
269.64,50.119,0.0,0.0
287.45,50.119,0.0,0.0
306.43,50.119,0.0,0.0
326.67,50.119,0.0,0.0
348.25,50.119,0.0,0.0
371.25,50.119,0.0,0.0
395.77,50.119,0.0,0.0
421.91,50.119,0.0,0.0
449.78,50.119,0.0,0.0
479.49,50.119,0.0,0.0
511.16,50.119,0.0,0.0
544.92,50.119,0.0,0.0
580.91,50.119,0.0,0.0
619.28,50.119,0.0,0.0
660.19,50.119,0.0,0.0
703.79,50.119,0.0,0.0
750.28,50.119,0.0,0.0
799.83,50.119,0.0,0.0
852.66,50.119,0.0,0.0
908.98,50.119,0.0,0.0
969.02,50.119,0.0,0.0
1033.0,50.119,0.0,0.0
1101.3,50.119,0.0,0.0
1174.0,50.119,0.0,0.0
1251.5,50.119,0.0,0.0
1334.2,50.119,0.0,0.0
1422.3,50.119,0.0,0.0
1516.3,50.119,0.0,0.0
1616.4,50.119,0.0,0.0
1723.2,50.119,0.0,0.0
1837.0,50.119,0.0,0.0
1958.3,50.119,0.0,0.0
2087.7,50.119,0.0,0.0
2225.6,50.119,0.0,0.0
2372.6,50.119,0.0,0.0
2529.3,50.119,0.0,0.0
2696.4,50.119,0.0,0.0
2874.5,50.119,0.0,0.0
3064.3,50.119,0.0,0.0
3266.7,50.119,0.0,0.0
3482.5,50.119,0.0,0.0
3712.5,50.119,0.0,0.0
3957.7,50.119,0.0,0.0
4219.1,50.119,0.0,0.0
4497.8,50.119,0.0,0.0
4794.9,50.119,0.0,0.0
5111.6,50.119,0.0,0.0
5449.2,50.119,0.0,0.0
5809.1,50.119,0.0,0.0
6192.8,50.119,0.0,0.0
6601.9,50.119,0.0,0.0
7037.9,50.119,0.0,0.0
7502.8,50.119,0.0,0.0
7998.3,50.119,0.0,0.0
8526.6,50.119,0.0,0.0
9089.8,50.119,0.0,0.0
9690.2,50.119,0.0,0.0
55000.0,50.119,0.0,0.0
550000.0,50.119,0.0,0.0
5500000.0,50.119,0.0,0.0
