Wavelength (A)	Transmission
14.90	1.53E-75
14.95	1.02E-75
15.00	6.67E-76
15.05	4.27E-76
15.10	2.70E-76
15.15	1.67E-76
15.20	9.83E-77
15.25	5.62E-77
15.30	3.16E-77
15.35	1.78E-77
15.40	1.00E-77
15.45	5.62E-78
15.50	3.16E-78
15.55	1.78E-78
15.60	9.99E-79
15.65	5.62E-79
15.70	3.14E-79
15.75	1.71E-79
15.80	9.01E-80
15.85	4.62E-80
15.90	2.34E-80
15.95	1.17E-80
16.00	5.81E-81
16.05	2.82E-81
16.10	1.33E-81
16.15	6.08E-82
16.20	2.62E-82
16.25	1.03E-82
16.30	3.28E-83
16.35	6.88E-84
16.40	7.16E-85
16.45	1.13E-86
16.50	8.83E-88
16.55	8.47E-88
16.60	7.67E-88
16.65	6.52E-88
16.70	5.59E-88
16.75	5.22E-88
16.80	7.96E-88
16.85	4.73E-87
16.90	1.27E-86
16.95	1.95E-86
17.00	1.99E-86
17.05	1.63E-86
17.10	1.20E-86
17.15	8.29E-87
17.20	5.55E-87
17.25	3.62E-87
17.30	2.32E-87
17.35	1.46E-87
17.40	9.10E-88
17.45	5.46E-88
17.50	3.15E-88
17.55	1.78E-88
17.60	1.00E-88
17.65	5.62E-89
17.70	3.16E-89
17.75	1.78E-89
17.80	9.93E-90
17.85	5.43E-90
17.90	2.85E-90
17.95	1.44E-90
18.00	7.14E-91
18.05	3.49E-91
18.10	1.67E-91
18.15	7.78E-92
18.20	3.45E-92
18.25	1.42E-92
18.30	5.02E-93
18.35	1.28E-93
18.40	2.16E-94
18.45	1.41E-95
18.50	1.69E-99
18.55	3.16E-186
18.60	1.00E-186
18.65	3.16E-187
18.70	1.00E-187
18.75	3.16E-188
18.80	1.00E-188
18.85	3.16E-189
18.90	1.00E-189
18.95	3.16E-190
19.00	1.00E-190
19.05	3.16E-191
19.10	1.00E-191
19.15	3.16E-192
19.20	1.00E-192
19.25	3.16E-193
19.30	1.00E-193
19.35	3.16E-194
19.40	1.00E-194
19.45	3.16E-195
19.50	1.00E-195
19.55	3.16E-196
19.60	1.00E-196
19.65	3.16E-197
19.70	1.00E-197
19.75	3.16E-198
19.80	1.00E-198
19.85	3.16E-199
19.90	1.00E-199
19.95	3.16E-200
20.00	9.99E-201
20.05	3.14E-201
20.10	9.70E-202
20.15	2.88E-202
20.20	8.23E-203
20.25	2.32E-203
20.30	6.44E-204
20.35	1.76E-204
20.40	4.67E-205
20.45	1.20E-205
20.50	2.89E-206
20.55	6.33E-207
20.60	1.11E-207
