t_us,E_eV,f,s
0.05,2.5119,0.0,0.0
0.1033,2.5119,0.0,0.0
0.11013,2.5119,0.0,0.0
0.1174,2.5119,0.0,0.0
0.12515,2.5119,0.0,0.0
0.13342,2.5119,0.0,0.0
0.14223,2.5119,0.0,0.0
0.15163,2.5119,0.0,0.0
0.16164,2.5119,0.0,0.0
0.17232,2.5119,0.0,0.0
0.1837,2.5119,0.0,0.0
0.19583,2.5119,0.0,0.0
0.20877,2.5119,0.0,0.0
0.22256,2.5119,0.0,0.0
0.23726,2.5119,0.0,0.0
0.25293,2.5119,0.0,0.0
0.26964,2.5119,0.0,0.0
0.28745,2.5119,0.0,0.0
0.30643,2.5119,0.0,0.0
0.32667,2.5119,0.0,0.0
0.34825,2.5119,0.0,0.0
0.37125,2.5119,0.0,0.0
0.39577,2.5119,0.0,0.0
0.42191,2.5119,0.0,0.0
0.44978,2.5119,0.0,0.0
0.47949,2.5119,0.0,0.0
0.51116,2.5119,0.0,0.0
0.54492,2.5119,0.0,0.0
0.58091,2.5119,0.0,0.0
0.61928,2.5119,1547.1,1547.1
0.66019,2.5119,1171600.0,755070.0
0.70379,2.5119,155310000.0,35411000.0
0.75028,2.5119,637450000.0,98039000.0
0.79983,2.5119,2264000000.0,262170000.0
0.85266,2.5119,5190700000.0,414220000.0
0.90898,2.5119,11121000000.0,599420000.0
0.96902,2.5119,18567000000.0,1208700000.0
1.033,2.5119,32801000000.0,2115700000.0
1.1013,2.5119,42242000000.0,1905100000.0
1.174,2.5119,54717000000.0,2445900000.0
1.2515,2.5119,71010000000.0,3074700000.0
1.3342,2.5119,76388000000.0,2138900000.0
1.4223,2.5119,94312000000.0,2867100000.0
1.5163,2.5119,112360000000.0,3426900000.0
1.6164,2.5119,117740000000.0,3367400000.0
1.7232,2.5119,121980000000.0,3195800000.0
1.837,2.5119,127330000000.0,3667000000.0
1.9583,2.5119,119600000000.0,3253100000.0
2.0877,2.5119,117830000000.0,3110700000.0
2.2256,2.5119,101540000000.0,2832900000.0
2.3726,2.5119,94719000000.0,2832100000.0
2.5293,2.5119,85860000000.0,2386900000.0
2.6964,2.5119,72216000000.0,2202600000.0
2.8745,2.5119,65592000000.0,2197300000.0
3.0643,2.5119,51114000000.0,1778800000.0
3.2667,2.5119,43274000000.0,1536200000.0
3.4825,2.5119,33124000000.0,1361400000.0
3.7125,2.5119,25887000000.0,1258100000.0
3.9577,2.5119,21826000000.0,949440000.0
4.2191,2.5119,17726000000.0,810090000.0
4.4978,2.5119,14693000000.0,740520000.0
4.7949,2.5119,12912000000.0,685640000.0
5.1116,2.5119,10859000000.0,656960000.0
5.4492,2.5119,8451500000.0,551880000.0
5.8091,2.5119,7945400000.0,618150000.0
6.1928,2.5119,6401300000.0,404560000.0
6.6019,2.5119,5268000000.0,331360000.0
7.0379,2.5119,4687600000.0,324380000.0
7.5028,2.5119,4231000000.0,348640000.0
7.9983,2.5119,3291500000.0,280110000.0
8.5266,2.5119,2665800000.0,194600000.0
9.0898,2.5119,2252600000.0,179310000.0
9.6902,2.5119,1763000000.0,135930000.0
10.33,2.5119,1566900000.0,124570000.0
11.013,2.5119,1547100000.0,154400000.0
11.74,2.5119,1217200000.0,112590000.0
12.515,2.5119,925680000.0,75258000.0
13.342,2.5119,757480000.0,77490000.0
14.223,2.5119,552880000.0,66844000.0
15.163,2.5119,701300000.0,121040000.0
16.164,2.5119,423090000.0,61433000.0
17.232,2.5119,409950000.0,63419000.0
18.37,2.5119,313250000.0,52783000.0
19.583,2.5119,181570000.0,20662000.0
20.877,2.5119,174630000.0,27521000.0
22.256,2.5119,97096000.0,10273000.0
23.726,2.5119,90242000.0,13374000.0
25.293,2.5119,59576000.0,11284000.0
26.964,2.5119,38839000.0,4664600.0
28.745,2.5119,81578000.0,39378000.0
30.643,2.5119,34149000.0,10282000.0
32.667,2.5119,10978000.0,1899200.0
34.825,2.5119,15957000.0,3730800.0
37.125,2.5119,12397000.0,3611300.0
39.577,2.5119,5493400.0,1475000.0
42.191,2.5119,8136300.0,3113800.0
44.978,2.5119,5092100.0,2824100.0
47.949,2.5119,3167600.0,1003500.0
51.116,2.5119,1207500.0,482650.0
54.492,2.5119,1662000.0,1077300.0
58.091,2.5119,2307200.0,1349900.0
61.928,2.5119,1195400.0,433080.0
66.019,2.5119,868330.0,359230.0
70.379,2.5119,440890.0,253470.0
75.028,2.5119,801600.0,332260.0
79.983,2.5119,251810.0,135120.0
85.266,2.5119,547470.0,225670.0
90.898,2.5119,562050.0,233760.0
96.902,2.5119,354890.0,210450.0
103.3,2.5119,223670.0,167010.0
110.13,2.5119,0.0,0.0
117.4,2.5119,0.0,0.0
125.15,2.5119,417600.0,417600.0
133.42,2.5119,49929.0,38256.0
142.23,2.5119,0.0,0.0
151.63,2.5119,0.0,0.0
161.64,2.5119,0.0,0.0
172.32,2.5119,0.0,0.0
183.7,2.5119,0.0,0.0
195.83,2.5119,0.0,0.0
208.77,2.5119,0.0,0.0
222.56,2.5119,0.0,0.0
237.26,2.5119,0.0,0.0
252.93,2.5119,0.0,0.0
269.64,2.5119,0.0,0.0
287.45,2.5119,0.0,0.0
306.43,2.5119,0.0,0.0
326.67,2.5119,0.0,0.0
348.25,2.5119,0.0,0.0
371.25,2.5119,0.0,0.0
395.77,2.5119,0.0,0.0
421.91,2.5119,0.0,0.0
449.78,2.5119,0.0,0.0
479.49,2.5119,0.0,0.0
