t_us,E_eV,f,s
0.05,0.0014125,0.0,0.0
0.1033,0.0014125,0.0,0.0
0.11013,0.0014125,0.0,0.0
0.1174,0.0014125,0.0,0.0
0.12515,0.0014125,0.0,0.0
0.13342,0.0014125,0.0,0.0
0.14223,0.0014125,0.0,0.0
0.15163,0.0014125,0.0,0.0
0.16164,0.0014125,0.0,0.0
0.17232,0.0014125,0.0,0.0
0.1837,0.0014125,0.0,0.0
0.19583,0.0014125,0.0,0.0
0.20877,0.0014125,0.0,0.0
0.22256,0.0014125,0.0,0.0
0.23726,0.0014125,0.0,0.0
0.25293,0.0014125,0.0,0.0
0.26964,0.0014125,0.0,0.0
0.28745,0.0014125,0.0,0.0
0.30643,0.0014125,0.0,0.0
0.32667,0.0014125,0.0,0.0
0.34825,0.0014125,0.0,0.0
0.37125,0.0014125,0.0,0.0
0.39577,0.0014125,0.0,0.0
0.42191,0.0014125,0.0,0.0
0.44978,0.0014125,0.0,0.0
0.47949,0.0014125,0.0,0.0
0.51116,0.0014125,0.0,0.0
0.54492,0.0014125,0.0,0.0
0.58091,0.0014125,0.0,0.0
0.61928,0.0014125,0.0,0.0
0.66019,0.0014125,0.0,0.0
0.70379,0.0014125,0.0,0.0
0.75028,0.0014125,0.0,0.0
0.79983,0.0014125,0.0,0.0
0.85266,0.0014125,0.0,0.0
0.90898,0.0014125,0.0,0.0
0.96902,0.0014125,0.0,0.0
1.033,0.0014125,0.0,0.0
1.1013,0.0014125,0.0,0.0
1.174,0.0014125,0.0,0.0
1.2515,0.0014125,0.0,0.0
1.3342,0.0014125,0.0,0.0
1.4223,0.0014125,0.0,0.0
1.5163,0.0014125,0.0,0.0
1.6164,0.0014125,0.0,0.0
1.7232,0.0014125,0.0,0.0
1.837,0.0014125,0.0,0.0
1.9583,0.0014125,0.0,0.0
2.0877,0.0014125,0.0,0.0
2.2256,0.0014125,0.0,0.0
2.3726,0.0014125,0.0,0.0
2.5293,0.0014125,0.0,0.0
2.6964,0.0014125,0.0,0.0
2.8745,0.0014125,0.0,0.0
3.0643,0.0014125,0.0,0.0
3.2667,0.0014125,0.0,0.0
3.4825,0.0014125,0.0,0.0
3.7125,0.0014125,0.0,0.0
3.9577,0.0014125,0.0,0.0
4.2191,0.0014125,0.0,0.0
4.4978,0.0014125,0.0,0.0
4.7949,0.0014125,0.0,0.0
5.1116,0.0014125,0.0,0.0
5.4492,0.0014125,0.0,0.0
5.8091,0.0014125,0.0,0.0
6.1928,0.0014125,0.0,0.0
6.6019,0.0014125,0.0,0.0
7.0379,0.0014125,0.0,0.0
7.5028,0.0014125,0.0,0.0
7.9983,0.0014125,0.0,0.0
8.5266,0.0014125,0.0,0.0
9.0898,0.0014125,0.0,0.0
9.6902,0.0014125,0.0,0.0
10.33,0.0014125,0.0,0.0
11.013,0.0014125,0.0,0.0
11.74,0.0014125,0.0,0.0
12.515,0.0014125,0.0,0.0
13.342,0.0014125,0.0,0.0
14.223,0.0014125,0.0,0.0
15.163,0.0014125,0.0,0.0
16.164,0.0014125,0.0,0.0
17.232,0.0014125,0.0,0.0
18.37,0.0014125,0.0,0.0
19.583,0.0014125,0.0,0.0
20.877,0.0014125,0.0,0.0
22.256,0.0014125,0.0,0.0
23.726,0.0014125,0.0,0.0
25.293,0.0014125,45780.0,30911.0
26.964,0.0014125,137620000.0,128080000.0
28.745,0.0014125,2347400000.0,1353500000.0
30.643,0.0014125,12764000000.0,3058200000.0
32.667,0.0014125,29524000000.0,4597000000.0
34.825,0.0014125,52621000000.0,5946200000.0
37.125,0.0014125,106230000000.0,8126200000.0
39.577,0.0014125,145420000000.0,9088800000.0
42.191,0.0014125,202630000000.0,10355000000.0
44.978,0.0014125,276490000000.0,11751000000.0
47.949,0.0014125,332810000000.0,12380000000.0
51.116,0.0014125,395740000000.0,13851000000.0
54.492,0.0014125,468040000000.0,13667000000.0
58.091,0.0014125,516290000000.0,13836000000.0
61.928,0.0014125,551490000000.0,15166000000.0
66.019,0.0014125,573080000000.0,13410000000.0
70.379,0.0014125,559840000000.0,12932000000.0
75.028,0.0014125,518190000000.0,11711000000.0
79.983,0.0014125,491340000000.0,10859000000.0
85.266,0.0014125,366980000000.0,8917700000.0
90.898,0.0014125,277840000000.0,7501600000.0
96.902,0.0014125,173280000000.0,5510300000.0
103.3,0.0014125,124400000000.0,4528000000.0
110.13,0.0014125,76919000000.0,3346000000.0
117.4,0.0014125,53488000000.0,2615500000.0
125.15,0.0014125,39139000000.0,2160500000.0
133.42,0.0014125,24249000000.0,1615000000.0
142.23,0.0014125,22555000000.0,1872100000.0
151.63,0.0014125,15027000000.0,1127000000.0
161.64,0.0014125,10406000000.0,905360000.0
172.32,0.0014125,7338600000.0,697900000.0
183.7,0.0014125,5471300000.0,822340000.0
195.83,0.0014125,3531600000.0,418850000.0
208.77,0.0014125,2297000000.0,336060000.0
222.56,0.0014125,2410100000.0,432370000.0
237.26,0.0014125,1968400000.0,374780000.0
252.93,0.0014125,1784900000.0,598820000.0
269.64,0.0014125,472110000.0,135260000.0
287.45,0.0014125,870420000.0,314130000.0
306.43,0.0014125,436980000.0,130310000.0
326.67,0.0014125,265790000.0,89254000.0
348.25,0.0014125,160480000.0,70724000.0
371.25,0.0014125,101620000.0,46156000.0
395.77,0.0014125,149440000.0,75570000.0
