t_us,E_eV,f,s
0.05,1584.9,0.0,0.0
0.1033,1584.9,4196400000.0,49937000.0
0.11013,1584.9,4402800000.0,49311000.0
0.1174,1584.9,4490200000.0,47596000.0
0.12515,1584.9,4491700000.0,45815000.0
0.13342,1584.9,4418500000.0,43743000.0
0.14223,1584.9,4171700000.0,41299000.0
0.15163,1584.9,3849900000.0,37729000.0
0.16164,1584.9,3432200000.0,34322000.0
0.17232,1584.9,2981500000.0,30710000.0
0.1837,1584.9,2544000000.0,27730000.0
0.19583,1584.9,2211300000.0,24545000.0
0.20877,1584.9,1839200000.0,21518000.0
0.22256,1584.9,1632000000.0,19584000.0
0.23726,1584.9,1349200000.0,17270000.0
0.25293,1584.9,1132500000.0,14836000.0
0.26964,1584.9,950050000.0,13206000.0
0.28745,1584.9,806830000.0,11780000.0
0.30643,1584.9,663290000.0,10215000.0
0.32667,1584.9,549300000.0,8843800.0
0.34825,1584.9,476670000.0,8008000.0
0.37125,1584.9,381910000.0,6759900.0
0.39577,1584.9,320450000.0,5960300.0
0.42191,1584.9,260570000.0,5081200.0
0.44978,1584.9,220300000.0,4582300.0
0.47949,1584.9,172330000.0,3860100.0
0.51116,1584.9,145960000.0,3430100.0
0.54492,1584.9,112720000.0,2818100.0
0.58091,1584.9,90764000.0,2396200.0
0.61928,1584.9,75375000.0,2072800.0
0.66019,1584.9,57108000.0,1741800.0
0.70379,1584.9,47466000.0,1590100.0
0.75028,1584.9,35314000.0,1214800.0
0.79983,1584.9,28530000.0,1138400.0
0.85266,1584.9,21936000.0,903760.0
0.90898,1584.9,16216000.0,762150.0
0.96902,1584.9,12719000.0,644830.0
1.033,1584.9,8944500.0,498210.0
1.1013,1584.9,6558500.0,394160.0
1.174,1584.9,4308900.0,274910.0
1.2515,1584.9,3698700.0,273710.0
1.3342,1584.9,2546000.0,197060.0
1.4223,1584.9,1708900.0,176190.0
1.5163,1584.9,1313500.0,137000.0
1.6164,1584.9,974320.0,134160.0
1.7232,1584.9,613020.0,83432.0
1.837,1584.9,882790.0,189360.0
1.9583,1584.9,320870.0,54164.0
2.0877,1584.9,254080.0,50129.0
2.2256,1584.9,239730.0,50774.0
2.3726,1584.9,193100.0,48062.0
2.5293,1584.9,138560.0,36802.0
2.6964,1584.9,147030.0,52388.0
2.8745,1584.9,175970.0,43817.0
3.0643,1584.9,102030.0,28537.0
3.2667,1584.9,168520.0,41592.0
3.4825,1584.9,109280.0,33452.0
3.7125,1584.9,139290.0,39196.0
3.9577,1584.9,85228.0,35992.0
4.2191,1584.9,15754.0,7120.8
4.4978,1584.9,37441.0,24131.0
4.7949,1584.9,5751.9,3718.6
5.1116,1584.9,678.21,606.66
5.4492,1584.9,7554.4,4636.9
5.8091,1584.9,0.0,0.0
6.1928,1584.9,0.0,0.0
6.6019,1584.9,0.0,0.0
7.0379,1584.9,0.0,0.0
7.5028,1584.9,0.0,0.0
7.9983,1584.9,0.0,0.0
8.5266,1584.9,0.0,0.0
9.0898,1584.9,0.0,0.0
9.6902,1584.9,0.0,0.0
10.33,1584.9,0.0,0.0
11.013,1584.9,0.0,0.0
11.74,1584.9,0.0,0.0
12.515,1584.9,0.0,0.0
13.342,1584.9,0.0,0.0
14.223,1584.9,0.0,0.0
15.163,1584.9,0.0,0.0
16.164,1584.9,0.0,0.0
17.232,1584.9,0.0,0.0
18.37,1584.9,0.0,0.0
19.583,1584.9,0.0,0.0
20.877,1584.9,0.0,0.0
