t_us,E_eV,f,s
0.05,0.12589,0.0,0.0
0.1033,0.12589,0.0,0.0
0.11013,0.12589,0.0,0.0
0.1174,0.12589,0.0,0.0
0.12515,0.12589,0.0,0.0
0.13342,0.12589,0.0,0.0
0.14223,0.12589,0.0,0.0
0.15163,0.12589,0.0,0.0
0.16164,0.12589,0.0,0.0
0.17232,0.12589,0.0,0.0
0.1837,0.12589,0.0,0.0
0.19583,0.12589,0.0,0.0
0.20877,0.12589,0.0,0.0
0.22256,0.12589,0.0,0.0
0.23726,0.12589,0.0,0.0
0.25293,0.12589,0.0,0.0
0.26964,0.12589,0.0,0.0
0.28745,0.12589,0.0,0.0
0.30643,0.12589,0.0,0.0
0.32667,0.12589,0.0,0.0
0.34825,0.12589,0.0,0.0
0.37125,0.12589,0.0,0.0
0.39577,0.12589,0.0,0.0
0.42191,0.12589,0.0,0.0
0.44978,0.12589,0.0,0.0
0.47949,0.12589,0.0,0.0
0.51116,0.12589,0.0,0.0
0.54492,0.12589,0.0,0.0
0.58091,0.12589,0.0,0.0
0.61928,0.12589,0.0,0.0
0.66019,0.12589,0.0,0.0
0.70379,0.12589,0.0,0.0
0.75028,0.12589,0.0,0.0
0.79983,0.12589,0.0,0.0
0.85266,0.12589,0.0,0.0
0.90898,0.12589,0.0,0.0
0.96902,0.12589,0.0,0.0
1.033,0.12589,0.0,0.0
1.1013,0.12589,0.0,0.0
1.174,0.12589,0.0,0.0
1.2515,0.12589,0.0,0.0
1.3342,0.12589,0.0,0.0
1.4223,0.12589,0.0,0.0
1.5163,0.12589,0.0,0.0
1.6164,0.12589,0.0,0.0
1.7232,0.12589,0.0,0.0
1.837,0.12589,0.0,0.0
1.9583,0.12589,0.0,0.0
2.0877,0.12589,0.0,0.0
2.2256,0.12589,0.0,0.0
2.3726,0.12589,0.0,0.0
2.5293,0.12589,0.0,0.0
2.6964,0.12589,2465.3,1750.1
2.8745,0.12589,87486000.0,41320000.0
3.0643,0.12589,952320000.0,146750000.0
3.2667,0.12589,4334300000.0,851690000.0
3.4825,0.12589,9253400000.0,1223300000.0
3.7125,0.12589,30768000000.0,4396700000.0
3.9577,0.12589,44851000000.0,3139600000.0
4.2191,0.12589,81889000000.0,4798700000.0
4.4978,0.12589,111610000000.0,5323700000.0
4.7949,0.12589,151860000000.0,5725300000.0
5.1116,0.12589,197750000000.0,6466500000.0
5.4492,0.12589,241000000000.0,6820200000.0
5.8091,0.12589,278410000000.0,6793300000.0
6.1928,0.12589,325940000000.0,6909900000.0
6.6019,0.12589,365430000000.0,7199000000.0
7.0379,0.12589,382910000000.0,7083800000.0
7.5028,0.12589,411210000000.0,6908400000.0
7.9983,0.12589,395000000000.0,6517500000.0
8.5266,0.12589,408290000000.0,6410200000.0
9.0898,0.12589,358870000000.0,5670200000.0
9.6902,0.12589,308850000000.0,5003400000.0
10.33,0.12589,256160000000.0,4534100000.0
11.013,0.12589,218610000000.0,4044200000.0
11.74,0.12589,168020000000.0,3461200000.0
12.515,0.12589,139110000000.0,3060500000.0
13.342,0.12589,107710000000.0,2703600000.0
14.223,0.12589,85706000000.0,2219800000.0
15.163,0.12589,67751000000.0,1910600000.0
16.164,0.12589,52900000000.0,1576400000.0
17.232,0.12589,45017000000.0,1458600000.0
18.37,0.12589,35246000000.0,1268800000.0
19.583,0.12589,27675000000.0,1048900000.0
20.877,0.12589,22423000000.0,883460000.0
22.256,0.12589,17478000000.0,795260000.0
23.726,0.12589,14618000000.0,701680000.0
25.293,0.12589,10208000000.0,560430000.0
26.964,0.12589,8128200000.0,470620000.0
28.745,0.12589,6467700000.0,421700000.0
30.643,0.12589,4140800000.0,286540000.0
32.667,0.12589,3576100000.0,308260000.0
34.825,0.12589,2377000000.0,219630000.0
37.125,0.12589,1812100000.0,179040000.0
39.577,0.12589,1291400000.0,140120000.0
42.191,0.12589,928440000.0,122090000.0
44.978,0.12589,745170000.0,92550000.0
47.949,0.12589,538460000.0,77161000.0
51.116,0.12589,259470000.0,40997000.0
54.492,0.12589,245360000.0,45710000.0
58.091,0.12589,81342000.0,20018000.0
61.928,0.12589,204750000.0,55898000.0
66.019,0.12589,84897000.0,27125000.0
70.379,0.12589,74751000.0,25901000.0
75.028,0.12589,58199000.0,27190000.0
79.983,0.12589,62411000.0,24896000.0
85.266,0.12589,23969000.0,14564000.0
90.898,0.12589,8438200.0,4784400.0
96.902,0.12589,7543300.0,3678100.0
103.3,0.12589,9469100.0,4188200.0
110.13,0.12589,6463700.0,3527900.0
117.4,0.12589,6430700.0,5160600.0
125.15,0.12589,2355700.0,1803100.0
133.42,0.12589,7664900.0,3976600.0
142.23,0.12589,825390.0,825390.0
151.63,0.12589,470930.0,470930.0
161.64,0.12589,2065400.0,1645300.0
172.32,0.12589,0.0,0.0
183.7,0.12589,0.0,0.0
195.83,0.12589,0.0,0.0
208.77,0.12589,1839400.0,1839400.0
222.56,0.12589,630580.0,630580.0
237.26,0.12589,1123200.0,1123200.0
252.93,0.12589,0.0,0.0
269.64,0.12589,0.0,0.0
287.45,0.12589,0.0,0.0
306.43,0.12589,0.0,0.0
326.67,0.12589,0.0,0.0
348.25,0.12589,0.0,0.0
371.25,0.12589,0.0,0.0
395.77,0.12589,0.0,0.0
421.91,0.12589,0.0,0.0
449.78,0.12589,0.0,0.0
479.49,0.12589,0.0,0.0
511.16,0.12589,0.0,0.0
544.92,0.12589,0.0,0.0
580.91,0.12589,0.0,0.0
619.28,0.12589,0.0,0.0
660.19,0.12589,0.0,0.0
703.79,0.12589,0.0,0.0
750.28,0.12589,0.0,0.0
799.83,0.12589,0.0,0.0
852.66,0.12589,0.0,0.0
908.98,0.12589,0.0,0.0
969.02,0.12589,0.0,0.0
1033.0,0.12589,0.0,0.0
1101.3,0.12589,0.0,0.0
1174.0,0.12589,126600.0,126600.0
1251.5,0.12589,0.0,0.0
1334.2,0.12589,0.0,0.0
1422.3,0.12589,0.0,0.0
1516.3,0.12589,116060.0,116060.0
1616.4,0.12589,0.0,0.0
1723.2,0.12589,0.0,0.0
1837.0,0.12589,0.0,0.0
1958.3,0.12589,0.0,0.0
2087.7,0.12589,0.0,0.0
2225.6,0.12589,0.0,0.0
2372.6,0.12589,0.0,0.0
2529.3,0.12589,0.0,0.0
2696.4,0.12589,0.0,0.0
2874.5,0.12589,0.0,0.0
3064.3,0.12589,0.0,0.0
3266.7,0.12589,0.0,0.0
3482.5,0.12589,0.0,0.0
3712.5,0.12589,0.0,0.0
3957.7,0.12589,0.0,0.0
4219.1,0.12589,0.0,0.0
4497.8,0.12589,0.0,0.0
4794.9,0.12589,0.0,0.0
5111.6,0.12589,0.0,0.0
5449.2,0.12589,0.0,0.0
5809.1,0.12589,0.0,0.0
6192.8,0.12589,0.0,0.0
6601.9,0.12589,0.0,0.0
7037.9,0.12589,0.0,0.0
7502.8,0.12589,0.0,0.0
7998.3,0.12589,0.0,0.0
8526.6,0.12589,0.0,0.0
9089.8,0.12589,0.0,0.0
9690.2,0.12589,0.0,0.0
55000.0,0.12589,0.0,0.0
550000.0,0.12589,0.0,0.0
5500000.0,0.12589,0.0,0.0
