t_us,E_eV,f,s
0.05,19.953,0.0,0.0
0.1033,19.953,0.0,0.0
0.11013,19.953,0.0,0.0
0.1174,19.953,0.0,0.0
0.12515,19.953,0.0,0.0
0.13342,19.953,0.0,0.0
0.14223,19.953,0.0,0.0
0.15163,19.953,0.0,0.0
0.16164,19.953,0.0,0.0
0.17232,19.953,0.0,0.0
0.1837,19.953,0.0,0.0
0.19583,19.953,0.0,0.0
0.20877,19.953,0.0,0.0
0.22256,19.953,0.0,0.0
0.23726,19.953,4468.2,3551.8
0.25293,19.953,10414000.0,6029600.0
0.26964,19.953,99388000.0,23933000.0
0.28745,19.953,431040000.0,64311000.0
0.30643,19.953,933120000.0,96671000.0
0.32667,19.953,2364800000.0,157730000.0
0.34825,19.953,4111400000.0,210090000.0
0.37125,19.953,6799100000.0,267200000.0
0.39577,19.953,10809000000.0,350200000.0
0.42191,19.953,15664000000.0,402570000.0
0.44978,19.953,21559000000.0,472150000.0
0.47949,19.953,26873000000.0,505220000.0
0.51116,19.953,34052000000.0,568670000.0
0.54492,19.953,37268000000.0,570200000.0
0.58091,19.953,43527000000.0,600670000.0
0.61928,19.953,48136000000.0,611330000.0
0.66019,19.953,50849000000.0,605110000.0
0.70379,19.953,51352000000.0,575140000.0
0.75028,19.953,49493000000.0,544430000.0
0.79983,19.953,45704000000.0,498170000.0
0.85266,19.953,42510000000.0,459110000.0
0.90898,19.953,39887000000.0,430780000.0
0.96902,19.953,36046000000.0,392900000.0
1.033,19.953,31154000000.0,342690000.0
1.1013,19.953,26175000000.0,301010000.0
1.174,19.953,21837000000.0,266410000.0
1.2515,19.953,18014000000.0,235980000.0
1.3342,19.953,14304000000.0,201680000.0
1.4223,19.953,11740000000.0,176100000.0
1.5163,19.953,9416500000.0,153490000.0
1.6164,19.953,7816600000.0,136790000.0
1.7232,19.953,6386000000.0,116230000.0
1.837,19.953,5269600000.0,100650000.0
1.9583,19.953,4410000000.0,89083000.0
2.0877,19.953,3698400000.0,79516000.0
2.2256,19.953,3139800000.0,69702000.0
2.3726,19.953,2548300000.0,60395000.0
2.5293,19.953,2260100000.0,54468000.0
2.6964,19.953,1829500000.0,46286000.0
2.8745,19.953,1612700000.0,42898000.0
3.0643,19.953,1375100000.0,38503000.0
3.2667,19.953,1165800000.0,33807000.0
3.4825,19.953,947060000.0,28412000.0
3.7125,19.953,804510000.0,24779000.0
3.9577,19.953,645450000.0,21300000.0
4.2191,19.953,587480000.0,20797000.0
4.4978,19.953,446330000.0,16380000.0
4.7949,19.953,379470000.0,15293000.0
5.1116,19.953,296850000.0,12497000.0
5.4492,19.953,255570000.0,12395000.0
5.8091,19.953,191770000.0,8245900.0
6.1928,19.953,169300000.0,8752600.0
6.6019,19.953,136740000.0,7876000.0
7.0379,19.953,101910000.0,6094400.0
7.5028,19.953,70887000.0,5238500.0
7.9983,19.953,52347000.0,3512500.0
8.5266,19.953,42263000.0,3444400.0
9.0898,19.953,30252000.0,3061500.0
9.6902,19.953,17724000.0,1600500.0
10.33,19.953,16156000.0,1801400.0
11.013,19.953,12031000.0,1630200.0
11.74,19.953,9261500.0,1377200.0
12.515,19.953,7000600.0,1130600.0
13.342,19.953,6525200.0,1069500.0
14.223,19.953,4140600.0,1274100.0
15.163,19.953,3653800.0,796900.0
16.164,19.953,2334600.0,594170.0
17.232,19.953,2605300.0,638830.0
18.37,19.953,509520.0,139250.0
19.583,19.953,1050000.0,284980.0
20.877,19.953,792650.0,230030.0
22.256,19.953,930450.0,337290.0
23.726,19.953,478100.0,171350.0
25.293,19.953,1138600.0,284320.0
26.964,19.953,427640.0,148520.0
28.745,19.953,230510.0,73925.0
30.643,19.953,451140.0,224800.0
32.667,19.953,294870.0,77728.0
34.825,19.953,163860.0,79225.0
37.125,19.953,26328.0,13164.0
39.577,19.953,57316.0,24027.0
42.191,19.953,351.66,351.66
44.978,19.953,0.0,0.0
47.949,19.953,44484.0,32567.0
51.116,19.953,4780.6,4780.6
54.492,19.953,0.0,0.0
58.091,19.953,0.0,0.0
61.928,19.953,0.0,0.0
66.019,19.953,0.0,0.0
70.379,19.953,0.0,0.0
75.028,19.953,0.0,0.0
79.983,19.953,0.0,0.0
85.266,19.953,0.0,0.0
90.898,19.953,0.0,0.0
96.902,19.953,0.0,0.0
103.3,19.953,0.0,0.0
110.13,19.953,0.0,0.0
117.4,19.953,0.0,0.0
125.15,19.953,0.0,0.0
133.42,19.953,0.0,0.0
142.23,19.953,0.0,0.0
151.63,19.953,0.0,0.0
161.64,19.953,0.0,0.0
172.32,19.953,0.0,0.0
183.7,19.953,0.0,0.0
195.83,19.953,0.0,0.0
208.77,19.953,0.0,0.0
222.56,19.953,0.0,0.0
237.26,19.953,0.0,0.0
252.93,19.953,0.0,0.0
269.64,19.953,0.0,0.0
287.45,19.953,0.0,0.0
306.43,19.953,0.0,0.0
326.67,19.953,0.0,0.0
348.25,19.953,0.0,0.0
371.25,19.953,0.0,0.0
395.77,19.953,0.0,0.0
421.91,19.953,0.0,0.0
449.78,19.953,0.0,0.0
479.49,19.953,0.0,0.0
511.16,19.953,0.0,0.0
544.92,19.953,0.0,0.0
580.91,19.953,0.0,0.0
619.28,19.953,0.0,0.0
660.19,19.953,0.0,0.0
703.79,19.953,0.0,0.0
750.28,19.953,0.0,0.0
799.83,19.953,0.0,0.0
852.66,19.953,0.0,0.0
908.98,19.953,0.0,0.0
969.02,19.953,0.0,0.0
1033.0,19.953,0.0,0.0
1101.3,19.953,0.0,0.0
1174.0,19.953,0.0,0.0
1251.5,19.953,0.0,0.0
1334.2,19.953,0.0,0.0
1422.3,19.953,0.0,0.0
1516.3,19.953,0.0,0.0
1616.4,19.953,0.0,0.0
1723.2,19.953,0.0,0.0
1837.0,19.953,0.0,0.0
1958.3,19.953,0.0,0.0
2087.7,19.953,0.0,0.0
2225.6,19.953,0.0,0.0
2372.6,19.953,0.0,0.0
2529.3,19.953,0.0,0.0
2696.4,19.953,0.0,0.0
