t_us,E_eV,f,s
0.05,0.039811,0.0,0.0
0.1033,0.039811,0.0,0.0
0.11013,0.039811,0.0,0.0
0.1174,0.039811,0.0,0.0
0.12515,0.039811,0.0,0.0
0.13342,0.039811,0.0,0.0
0.14223,0.039811,0.0,0.0
0.15163,0.039811,0.0,0.0
0.16164,0.039811,0.0,0.0
0.17232,0.039811,0.0,0.0
0.1837,0.039811,0.0,0.0
0.19583,0.039811,0.0,0.0
0.20877,0.039811,0.0,0.0
0.22256,0.039811,0.0,0.0
0.23726,0.039811,0.0,0.0
0.25293,0.039811,0.0,0.0
0.26964,0.039811,0.0,0.0
0.28745,0.039811,0.0,0.0
0.30643,0.039811,0.0,0.0
0.32667,0.039811,0.0,0.0
0.34825,0.039811,0.0,0.0
0.37125,0.039811,0.0,0.0
0.39577,0.039811,0.0,0.0
0.42191,0.039811,0.0,0.0
0.44978,0.039811,0.0,0.0
0.47949,0.039811,0.0,0.0
0.51116,0.039811,0.0,0.0
0.54492,0.039811,0.0,0.0
0.58091,0.039811,0.0,0.0
0.61928,0.039811,0.0,0.0
0.66019,0.039811,0.0,0.0
0.70379,0.039811,0.0,0.0
0.75028,0.039811,0.0,0.0
0.79983,0.039811,0.0,0.0
0.85266,0.039811,0.0,0.0
0.90898,0.039811,0.0,0.0
0.96902,0.039811,0.0,0.0
1.033,0.039811,0.0,0.0
1.1013,0.039811,0.0,0.0
1.174,0.039811,0.0,0.0
1.2515,0.039811,0.0,0.0
1.3342,0.039811,0.0,0.0
1.4223,0.039811,0.0,0.0
1.5163,0.039811,0.0,0.0
1.6164,0.039811,0.0,0.0
1.7232,0.039811,0.0,0.0
1.837,0.039811,0.0,0.0
1.9583,0.039811,0.0,0.0
2.0877,0.039811,0.0,0.0
2.2256,0.039811,0.0,0.0
2.3726,0.039811,0.0,0.0
2.5293,0.039811,0.0,0.0
2.6964,0.039811,0.0,0.0
2.8745,0.039811,0.0,0.0
3.0643,0.039811,0.0,0.0
3.2667,0.039811,0.0,0.0
3.4825,0.039811,0.0,0.0
3.7125,0.039811,0.0,0.0
3.9577,0.039811,0.0,0.0
4.2191,0.039811,0.0,0.0
4.4978,0.039811,0.0,0.0
4.7949,0.039811,36274.0,33840.0
5.1116,0.039811,156530000.0,59167000.0
5.4492,0.039811,1981100000.0,653160000.0
5.8091,0.039811,5120500000.0,756300000.0
6.1928,0.039811,24884000000.0,2729700000.0
6.6019,0.039811,49736000000.0,3735200000.0
7.0379,0.039811,79527000000.0,4612600000.0
7.5028,0.039811,130650000000.0,5813800000.0
7.9983,0.039811,194290000000.0,6800000000.0
8.5266,0.039811,252250000000.0,7416000000.0
9.0898,0.039811,329310000000.0,7969200000.0
9.6902,0.039811,407970000000.0,8689700000.0
10.33,0.039811,467460000000.0,8788200000.0
11.013,0.039811,542470000000.0,8950700000.0
11.74,0.039811,601360000000.0,9260900000.0
12.515,0.039811,637000000000.0,8918000000.0
13.342,0.039811,637870000000.0,8228500000.0
14.223,0.039811,636750000000.0,7768300000.0
15.163,0.039811,597730000000.0,7053200000.0
16.164,0.039811,532970000000.0,6502200000.0
17.232,0.039811,440380000000.0,5548700000.0
18.37,0.039811,348590000000.0,4845400000.0
19.583,0.039811,268440000000.0,4133900000.0
20.877,0.039811,212520000000.0,3570300000.0
22.256,0.039811,162700000000.0,2977500000.0
23.726,0.039811,122710000000.0,2527900000.0
25.293,0.039811,92369000000.0,2143000000.0
26.964,0.039811,69976000000.0,1749400000.0
28.745,0.039811,55146000000.0,1527500000.0
30.643,0.039811,39428000000.0,1222300000.0
32.667,0.039811,30083000000.0,1092000000.0
34.825,0.039811,23803000000.0,909270000.0
37.125,0.039811,15895000000.0,718450000.0
39.577,0.039811,10765000000.0,540410000.0
42.191,0.039811,9371000000.0,539770000.0
44.978,0.039811,5971500000.0,379190000.0
47.949,0.039811,4444500000.0,311560000.0
51.116,0.039811,3397700000.0,273180000.0
54.492,0.039811,1920500000.0,177070000.0
58.091,0.039811,1955000000.0,198430000.0
