t_us,E_eV,f,s
0.05,15849.0,0.0,0.0
0.1033,15849.0,424880000.0,4971100.0
0.11013,15849.0,372980000.0,4513100.0
0.1174,15849.0,316090000.0,4045900.0
0.12515,15849.0,265810000.0,3508700.0
0.13342,15849.0,228960000.0,3159700.0
0.14223,15849.0,195690000.0,2778700.0
0.15163,15849.0,172780000.0,2574400.0
0.16164,15849.0,139220000.0,2185700.0
0.17232,15849.0,114260000.0,1896600.0
0.1837,15849.0,96174000.0,1692700.0
0.19583,15849.0,77814000.0,1439600.0
0.20877,15849.0,60730000.0,1184200.0
0.22256,15849.0,51306000.0,1092800.0
0.23726,15849.0,41811000.0,936560.0
0.25293,15849.0,33596000.0,809680.0
0.26964,15849.0,25755000.0,687660.0
0.28745,15849.0,20446000.0,582700.0
0.30643,15849.0,15928000.0,501730.0
0.32667,15849.0,12225000.0,419320.0
0.34825,15849.0,9217000.0,339190.0
0.37125,15849.0,6763500.0,284740.0
0.39577,15849.0,5010700.0,245520.0
0.42191,15849.0,3598000.0,187820.0
0.44978,15849.0,2376200.0,132590.0
0.47949,15849.0,1612500.0,104820.0
0.51116,15849.0,1196700.0,101840.0
0.54492,15849.0,976580.0,87404.0
0.58091,15849.0,638450.0,57652.0
0.61928,15849.0,345240.0,40014.0
0.66019,15849.0,224220.0,32355.0
0.70379,15849.0,121690.0,19872.0
0.75028,15849.0,156810.0,32914.0
0.79983,15849.0,59651.0,11381.0
0.85266,15849.0,87962.0,19510.0
0.90898,15849.0,27985.0,6677.3
0.96902,15849.0,30379.0,9469.0
1.033,15849.0,57337.0,17304.0
1.1013,15849.0,17192.0,6400.6
1.174,15849.0,32633.0,9166.5
1.2515,15849.0,10685.0,3714.2
1.3342,15849.0,13294.0,11599.0
1.4223,15849.0,2546.8,1267.3
1.5163,15849.0,2965.8,1173.6
1.6164,15849.0,872.92,659.14
1.7232,15849.0,0.0,0.0
1.837,15849.0,0.0,0.0
1.9583,15849.0,0.0,0.0
2.0877,15849.0,0.0,0.0
2.2256,15849.0,0.0,0.0
2.3726,15849.0,0.0,0.0
2.5293,15849.0,0.0,0.0
2.6964,15849.0,0.0,0.0
2.8745,15849.0,0.0,0.0
3.0643,15849.0,0.0,0.0
3.2667,15849.0,0.0,0.0
3.4825,15849.0,0.0,0.0
3.7125,15849.0,0.0,0.0
3.9577,15849.0,0.0,0.0
4.2191,15849.0,0.0,0.0
4.4978,15849.0,0.0,0.0
4.7949,15849.0,0.0,0.0
5.1116,15849.0,0.0,0.0
5.4492,15849.0,0.0,0.0
5.8091,15849.0,0.0,0.0
6.1928,15849.0,0.0,0.0
6.6019,15849.0,0.0,0.0
7.0379,15849.0,0.0,0.0
7.5028,15849.0,0.0,0.0
7.9983,15849.0,0.0,0.0
8.5266,15849.0,0.0,0.0
9.0898,15849.0,0.0,0.0
9.6902,15849.0,0.0,0.0
10.33,15849.0,0.0,0.0
11.013,15849.0,0.0,0.0
11.74,15849.0,0.0,0.0
12.515,15849.0,0.0,0.0
13.342,15849.0,0.0,0.0
14.223,15849.0,0.0,0.0
15.163,15849.0,0.0,0.0
16.164,15849.0,0.0,0.0
17.232,15849.0,0.0,0.0
18.37,15849.0,0.0,0.0
19.583,15849.0,0.0,0.0
20.877,15849.0,0.0,0.0
22.256,15849.0,0.0,0.0
23.726,15849.0,0.0,0.0
25.293,15849.0,0.0,0.0
26.964,15849.0,0.0,0.0
28.745,15849.0,0.0,0.0
30.643,15849.0,0.0,0.0
32.667,15849.0,0.0,0.0
34.825,15849.0,0.0,0.0
37.125,15849.0,0.0,0.0
39.577,15849.0,0.0,0.0
42.191,15849.0,0.0,0.0
44.978,15849.0,0.0,0.0
47.949,15849.0,0.0,0.0
51.116,15849.0,0.0,0.0
54.492,15849.0,0.0,0.0
58.091,15849.0,0.0,0.0
61.928,15849.0,0.0,0.0
66.019,15849.0,0.0,0.0
70.379,15849.0,0.0,0.0
75.028,15849.0,0.0,0.0
79.983,15849.0,0.0,0.0
85.266,15849.0,0.0,0.0
90.898,15849.0,0.0,0.0
96.902,15849.0,0.0,0.0
103.3,15849.0,0.0,0.0
110.13,15849.0,0.0,0.0
117.4,15849.0,0.0,0.0
125.15,15849.0,0.0,0.0
133.42,15849.0,0.0,0.0
142.23,15849.0,0.0,0.0
151.63,15849.0,0.0,0.0
161.64,15849.0,0.0,0.0
172.32,15849.0,0.0,0.0
183.7,15849.0,0.0,0.0
195.83,15849.0,0.0,0.0
208.77,15849.0,0.0,0.0
222.56,15849.0,0.0,0.0
237.26,15849.0,0.0,0.0
252.93,15849.0,0.0,0.0
269.64,15849.0,0.0,0.0
287.45,15849.0,0.0,0.0
306.43,15849.0,0.0,0.0
326.67,15849.0,0.0,0.0
348.25,15849.0,0.0,0.0
371.25,15849.0,0.0,0.0
395.77,15849.0,0.0,0.0
421.91,15849.0,0.0,0.0
449.78,15849.0,0.0,0.0
479.49,15849.0,0.0,0.0
511.16,15849.0,0.0,0.0
544.92,15849.0,0.0,0.0
580.91,15849.0,0.0,0.0
619.28,15849.0,0.0,0.0
660.19,15849.0,0.0,0.0
703.79,15849.0,0.0,0.0
750.28,15849.0,0.0,0.0
799.83,15849.0,0.0,0.0
852.66,15849.0,0.0,0.0
908.98,15849.0,0.0,0.0
969.02,15849.0,0.0,0.0
1033.0,15849.0,0.0,0.0
1101.3,15849.0,0.0,0.0
1174.0,15849.0,0.0,0.0
1251.5,15849.0,0.0,0.0
1334.2,15849.0,0.0,0.0
1422.3,15849.0,0.0,0.0
1516.3,15849.0,0.0,0.0
1616.4,15849.0,0.0,0.0
1723.2,15849.0,0.0,0.0
1837.0,15849.0,0.0,0.0
1958.3,15849.0,0.0,0.0
2087.7,15849.0,0.0,0.0
2225.6,15849.0,0.0,0.0
2372.6,15849.0,0.0,0.0
2529.3,15849.0,0.0,0.0
2696.4,15849.0,0.0,0.0
2874.5,15849.0,0.0,0.0
3064.3,15849.0,0.0,0.0
3266.7,15849.0,0.0,0.0
3482.5,15849.0,0.0,0.0
3712.5,15849.0,0.0,0.0
3957.7,15849.0,0.0,0.0
4219.1,15849.0,0.0,0.0
4497.8,15849.0,0.0,0.0
4794.9,15849.0,0.0,0.0
5111.6,15849.0,0.0,0.0
5449.2,15849.0,0.0,0.0
5809.1,15849.0,0.0,0.0
6192.8,15849.0,0.0,0.0
6601.9,15849.0,0.0,0.0
7037.9,15849.0,0.0,0.0
7502.8,15849.0,0.0,0.0
7998.3,15849.0,0.0,0.0
8526.6,15849.0,0.0,0.0
9089.8,15849.0,0.0,0.0
9690.2,15849.0,0.0,0.0
55000.0,15849.0,0.0,0.0
550000.0,15849.0,0.0,0.0
5500000.0,15849.0,0.0,0.0
