t_us,E_eV,f,s
0.05,2.2387,0.0,0.0
0.1033,2.2387,0.0,0.0
0.11013,2.2387,0.0,0.0
0.1174,2.2387,0.0,0.0
0.12515,2.2387,0.0,0.0
0.13342,2.2387,0.0,0.0
0.14223,2.2387,0.0,0.0
0.15163,2.2387,0.0,0.0
0.16164,2.2387,0.0,0.0
0.17232,2.2387,0.0,0.0
0.1837,2.2387,0.0,0.0
0.19583,2.2387,0.0,0.0
0.20877,2.2387,0.0,0.0
0.22256,2.2387,0.0,0.0
0.23726,2.2387,0.0,0.0
0.25293,2.2387,0.0,0.0
0.26964,2.2387,0.0,0.0
0.28745,2.2387,0.0,0.0
0.30643,2.2387,0.0,0.0
0.32667,2.2387,0.0,0.0
0.34825,2.2387,0.0,0.0
0.37125,2.2387,0.0,0.0
0.39577,2.2387,0.0,0.0
0.42191,2.2387,0.0,0.0
0.44978,2.2387,0.0,0.0
0.47949,2.2387,0.0,0.0
0.51116,2.2387,0.0,0.0
0.54492,2.2387,0.0,0.0
0.58091,2.2387,0.0,0.0
0.61928,2.2387,0.0,0.0
0.66019,2.2387,41885.0,41885.0
0.70379,2.2387,22351000.0,13770000.0
0.75028,2.2387,336760000.0,113420000.0
0.79983,2.2387,1129800000.0,196010000.0
0.85266,2.2387,2982900000.0,297400000.0
0.90898,2.2387,7095700000.0,519400000.0
0.96902,2.2387,13346000000.0,1227800000.0
1.033,2.2387,18599000000.0,1311300000.0
1.1013,2.2387,30296000000.0,1463300000.0
1.174,2.2387,46139000000.0,2496100000.0
1.2515,2.2387,60252000000.0,2482400000.0
1.3342,2.2387,76098000000.0,2762400000.0
1.4223,2.2387,91742000000.0,3137600000.0
1.5163,2.2387,108280000000.0,3714000000.0
1.6164,2.2387,116390000000.0,3247400000.0
1.7232,2.2387,130500000000.0,4058400000.0
1.837,2.2387,134920000000.0,3615800000.0
1.9583,2.2387,127840000000.0,3311000000.0
2.0877,2.2387,127050000000.0,3239800000.0
2.2256,2.2387,117760000000.0,3179500000.0
2.3726,2.2387,107090000000.0,2945000000.0
2.5293,2.2387,97277000000.0,2782100000.0
2.6964,2.2387,88095000000.0,2572400000.0
2.8745,2.2387,83207000000.0,2537800000.0
3.0643,2.2387,68055000000.0,1953200000.0
3.2667,2.2387,58093000000.0,1789300000.0
3.4825,2.2387,48394000000.0,1635700000.0
3.7125,2.2387,35406000000.0,1278100000.0
3.9577,2.2387,30052000000.0,1256200000.0
4.2191,2.2387,23421000000.0,950880000.0
4.4978,2.2387,19348000000.0,799070000.0
4.7949,2.2387,16786000000.0,723490000.0
5.1116,2.2387,12660000000.0,688730000.0
5.4492,2.2387,11541000000.0,588590000.0
5.8091,2.2387,9455100000.0,479370000.0
6.1928,2.2387,8652700000.0,503590000.0
6.6019,2.2387,7411000000.0,383890000.0
7.0379,2.2387,5513900000.0,342960000.0
7.5028,2.2387,5870400000.0,361030000.0
7.9983,2.2387,4242600000.0,271530000.0
8.5266,2.2387,3956600000.0,272610000.0
9.0898,2.2387,3854200000.0,326840000.0
9.6902,2.2387,2726200000.0,223550000.0
10.33,2.2387,2333900000.0,169910000.0
11.013,2.2387,1811600000.0,138590000.0
11.74,2.2387,1678000000.0,143470000.0
12.515,2.2387,1306800000.0,107420000.0
13.342,2.2387,1271600000.0,117110000.0
14.223,2.2387,1047400000.0,143810000.0
15.163,2.2387,880540000.0,95362000.0
16.164,2.2387,637800000.0,90248000.0
17.232,2.2387,436170000.0,35243000.0
18.37,2.2387,440630000.0,44768000.0
19.583,2.2387,296120000.0,30945000.0
20.877,2.2387,217100000.0,24423000.0
22.256,2.2387,140940000.0,16913000.0
23.726,2.2387,126900000.0,12183000.0
25.293,2.2387,156170000.0,57424000.0
26.964,2.2387,71473000.0,7025800.0
28.745,2.2387,67072000.0,11503000.0
30.643,2.2387,46889000.0,11038000.0
32.667,2.2387,23796000.0,4042900.0
34.825,2.2387,22953000.0,3672400.0
37.125,2.2387,13110000.0,2581400.0
39.577,2.2387,10693000.0,2237100.0
42.191,2.2387,11640000.0,4982100.0
44.978,2.2387,5625800.0,1327100.0
47.949,2.2387,12243000.0,3898200.0
51.116,2.2387,7073600.0,4958600.0
54.492,2.2387,4410100.0,1991600.0
58.091,2.2387,3076300.0,1416600.0
61.928,2.2387,1777000.0,772290.0
66.019,2.2387,2832900.0,1956100.0
70.379,2.2387,802700.0,334400.0
75.028,2.2387,3623600.0,2713000.0
79.983,2.2387,9207400.0,7806900.0
85.266,2.2387,748770.0,410550.0
90.898,2.2387,641760.0,285580.0
96.902,2.2387,78842.0,78842.0
103.3,2.2387,264240.0,159570.0
110.13,2.2387,97372.0,97372.0
117.4,2.2387,69533.0,69533.0
125.15,2.2387,0.0,0.0
133.42,2.2387,0.0,0.0
142.23,2.2387,0.0,0.0
151.63,2.2387,0.0,0.0
161.64,2.2387,0.0,0.0
172.32,2.2387,0.0,0.0
183.7,2.2387,0.0,0.0
195.83,2.2387,0.0,0.0
208.77,2.2387,0.0,0.0
222.56,2.2387,0.0,0.0
237.26,2.2387,0.0,0.0
252.93,2.2387,0.0,0.0
269.64,2.2387,0.0,0.0
287.45,2.2387,0.0,0.0
306.43,2.2387,0.0,0.0
326.67,2.2387,0.0,0.0
348.25,2.2387,0.0,0.0
371.25,2.2387,0.0,0.0
395.77,2.2387,0.0,0.0
421.91,2.2387,0.0,0.0
449.78,2.2387,0.0,0.0
479.49,2.2387,0.0,0.0
511.16,2.2387,0.0,0.0
544.92,2.2387,0.0,0.0
580.91,2.2387,0.0,0.0
619.28,2.2387,0.0,0.0
660.19,2.2387,0.0,0.0
703.79,2.2387,0.0,0.0
750.28,2.2387,0.0,0.0
799.83,2.2387,0.0,0.0
852.66,2.2387,0.0,0.0
908.98,2.2387,0.0,0.0
969.02,2.2387,0.0,0.0
1033.0,2.2387,0.0,0.0
1101.3,2.2387,0.0,0.0
1174.0,2.2387,0.0,0.0
1251.5,2.2387,0.0,0.0
1334.2,2.2387,0.0,0.0
1422.3,2.2387,0.0,0.0
1516.3,2.2387,0.0,0.0
1616.4,2.2387,0.0,0.0
1723.2,2.2387,0.0,0.0
1837.0,2.2387,0.0,0.0
1958.3,2.2387,0.0,0.0
2087.7,2.2387,0.0,0.0
2225.6,2.2387,0.0,0.0
2372.6,2.2387,0.0,0.0
2529.3,2.2387,0.0,0.0
2696.4,2.2387,0.0,0.0
2874.5,2.2387,0.0,0.0
3064.3,2.2387,0.0,0.0
3266.7,2.2387,0.0,0.0
3482.5,2.2387,0.0,0.0
3712.5,2.2387,0.0,0.0
3957.7,2.2387,0.0,0.0
4219.1,2.2387,0.0,0.0
4497.8,2.2387,0.0,0.0
4794.9,2.2387,0.0,0.0
5111.6,2.2387,0.0,0.0
5449.2,2.2387,0.0,0.0
5809.1,2.2387,0.0,0.0
6192.8,2.2387,0.0,0.0
6601.9,2.2387,0.0,0.0
7037.9,2.2387,0.0,0.0
7502.8,2.2387,0.0,0.0
7998.3,2.2387,0.0,0.0
8526.6,2.2387,0.0,0.0
9089.8,2.2387,0.0,0.0
9690.2,2.2387,0.0,0.0
55000.0,2.2387,0.0,0.0
550000.0,2.2387,0.0,0.0
5500000.0,2.2387,0.0,0.0
