t_us,E_eV,f,s
0.05,141.25,0.0,0.0
0.1033,141.25,4964900.0,4635800.0
0.11013,141.25,13030000.0,3730400.0
0.1174,141.25,73899000.0,15112000.0
0.12515,141.25,223170000.0,26088000.0
0.13342,141.25,530460000.0,44718000.0
0.14223,141.25,961680000.0,56259000.0
0.15163,141.25,1817300000.0,83049000.0
0.16164,141.25,2801700000.0,99182000.0
0.17232,141.25,4577700000.0,128630000.0
0.1837,141.25,6461100000.0,153130000.0
0.19583,141.25,8415400000.0,168310000.0
0.20877,141.25,10532000000.0,186420000.0
0.22256,141.25,12940000000.0,197980000.0
0.23726,141.25,15025000000.0,207350000.0
0.25293,141.25,16458000000.0,209020000.0
0.26964,141.25,18328000000.0,214430000.0
0.28745,141.25,18122000000.0,204780000.0
0.30643,141.25,18326000000.0,194260000.0
0.32667,141.25,18501000000.0,194260000.0
0.34825,141.25,17381000000.0,175550000.0
0.37125,141.25,16463000000.0,162980000.0
0.39577,141.25,15144000000.0,149920000.0
0.42191,141.25,13278000000.0,134100000.0
0.44978,141.25,11356000000.0,118110000.0
0.47949,141.25,9934500000.0,109280000.0
0.51116,141.25,7988700000.0,92669000.0
0.54492,141.25,6644000000.0,83051000.0
0.58091,141.25,5471600000.0,71679000.0
0.61928,141.25,4340000000.0,60761000.0
0.66019,141.25,3667700000.0,54282000.0
0.70379,141.25,3041400000.0,47142000.0
0.75028,141.25,2500900000.0,42265000.0
0.79983,141.25,2035400000.0,35417000.0
0.85266,141.25,1755700000.0,32304000.0
0.90898,141.25,1444200000.0,27872000.0
0.96902,141.25,1214900000.0,24542000.0
1.033,141.25,1032900000.0,21897000.0
1.1013,141.25,853150000.0,18684000.0
1.174,141.25,742600000.0,17228000.0
1.2515,141.25,595720000.0,14595000.0
1.3342,141.25,468080000.0,12357000.0
1.4223,141.25,421680000.0,11175000.0
1.5163,141.25,358960000.0,9979000.0
1.6164,141.25,283890000.0,8431400.0
1.7232,141.25,230820000.0,7086300.0
1.837,141.25,192130000.0,6301900.0
1.9583,141.25,147090000.0,5162800.0
2.0877,141.25,117560000.0,4620100.0
2.2256,141.25,98567000.0,4080700.0
2.3726,141.25,74089000.0,3111700.0
2.5293,141.25,59343000.0,2866300.0
2.6964,141.25,43106000.0,2280300.0
2.8745,141.25,37691000.0,2099400.0
3.0643,141.25,28431000.0,1782600.0
3.2667,141.25,22412000.0,1472500.0
3.4825,141.25,16713000.0,1149800.0
3.7125,141.25,13343000.0,1309000.0
3.9577,141.25,8834500.0,857830.0
4.2191,141.25,4831200.0,507270.0
4.4978,141.25,5769900.0,729890.0
4.7949,141.25,3005300.0,490170.0
5.1116,141.25,1913000.0,265720.0
5.4492,141.25,2219600.0,339820.0
5.8091,141.25,1259200.0,241130.0
6.1928,141.25,1829900.0,512200.0
6.6019,141.25,934510.0,202700.0
7.0379,141.25,391310.0,99978.0
7.5028,141.25,534630.0,164400.0
7.9983,141.25,491550.0,234030.0
8.5266,141.25,293410.0,79310.0
9.0898,141.25,455350.0,131000.0
9.6902,141.25,302380.0,114660.0
10.33,141.25,278000.0,109860.0
11.013,141.25,290250.0,98511.0
11.74,141.25,137680.0,40245.0
12.515,141.25,107170.0,33436.0
13.342,141.25,148850.0,61670.0
14.223,141.25,54701.0,24112.0
15.163,141.25,107780.0,67653.0
16.164,141.25,11541.0,5664.5
17.232,141.25,2003.8,2003.8
18.37,141.25,1878.8,1878.8
19.583,141.25,6508.1,3887.3
20.877,141.25,0.0,0.0
22.256,141.25,0.0,0.0
23.726,141.25,0.0,0.0
25.293,141.25,0.0,0.0
26.964,141.25,0.0,0.0
28.745,141.25,0.0,0.0
30.643,141.25,0.0,0.0
32.667,141.25,0.0,0.0
34.825,141.25,0.0,0.0
37.125,141.25,0.0,0.0
39.577,141.25,0.0,0.0
42.191,141.25,0.0,0.0
44.978,141.25,0.0,0.0
47.949,141.25,0.0,0.0
51.116,141.25,0.0,0.0
54.492,141.25,0.0,0.0
58.091,141.25,0.0,0.0
61.928,141.25,0.0,0.0
66.019,141.25,0.0,0.0
70.379,141.25,0.0,0.0
75.028,141.25,0.0,0.0
79.983,141.25,0.0,0.0
85.266,141.25,0.0,0.0
90.898,141.25,0.0,0.0
96.902,141.25,0.0,0.0
103.3,141.25,0.0,0.0
110.13,141.25,0.0,0.0
117.4,141.25,0.0,0.0
125.15,141.25,0.0,0.0
133.42,141.25,0.0,0.0
142.23,141.25,0.0,0.0
151.63,141.25,0.0,0.0
161.64,141.25,0.0,0.0
172.32,141.25,0.0,0.0
183.7,141.25,0.0,0.0
195.83,141.25,0.0,0.0
208.77,141.25,0.0,0.0
222.56,141.25,0.0,0.0
237.26,141.25,0.0,0.0
252.93,141.25,0.0,0.0
269.64,141.25,0.0,0.0
287.45,141.25,0.0,0.0
306.43,141.25,0.0,0.0
326.67,141.25,0.0,0.0
348.25,141.25,0.0,0.0
371.25,141.25,0.0,0.0
395.77,141.25,0.0,0.0
421.91,141.25,0.0,0.0
449.78,141.25,0.0,0.0
479.49,141.25,0.0,0.0
