t_us,E_eV,f,s
0.05,630.96,0.0,0.0
0.1033,630.96,2964800000.0,65523000.0
0.11013,630.96,3949200000.0,74245000.0
0.1174,630.96,4778800000.0,79806000.0
0.12515,630.96,5796500000.0,83469000.0
0.13342,630.96,6565900000.0,87327000.0
0.14223,630.96,7112700000.0,88197000.0
0.15163,630.96,7632300000.0,87771000.0
0.16164,630.96,7886900000.0,85179000.0
0.17232,630.96,7766300000.0,81546000.0
0.1837,630.96,7924900000.0,79249000.0
0.19583,630.96,7499000000.0,73490000.0
0.20877,630.96,6975600000.0,67664000.0
0.22256,630.96,6147700000.0,60862000.0
0.23726,630.96,5526000000.0,55812000.0
0.25293,630.96,4730500000.0,49670000.0
0.26964,630.96,3977500000.0,43753000.0
0.28745,630.96,3396200000.0,38717000.0
0.30643,630.96,2855100000.0,34546000.0
0.32667,630.96,2392300000.0,30383000.0
0.34825,630.96,1993000000.0,26905000.0
0.37125,630.96,1616600000.0,23117000.0
0.39577,630.96,1376100000.0,20505000.0
0.42191,630.96,1136600000.0,18073000.0
0.44978,630.96,924960000.0,15632000.0
0.47949,630.96,768610000.0,13451000.0
0.51116,630.96,654110000.0,12101000.0
0.54492,630.96,532160000.0,10430000.0
0.58091,630.96,435820000.0,8978000.0
0.61928,630.96,377930000.0,7898800.0
0.66019,630.96,308160000.0,6871900.0
0.70379,630.96,254690000.0,5959700.0
0.75028,630.96,201720000.0,4861500.0
0.79983,630.96,168620000.0,4434800.0
0.85266,630.96,137960000.0,3918200.0
0.90898,630.96,107850000.0,3160000.0
0.96902,630.96,87418000.0,2911000.0
1.033,630.96,72912000.0,2515500.0
1.1013,630.96,57070000.0,2088700.0
1.174,630.96,46761000.0,1907900.0
1.2515,630.96,34753000.0,1494400.0
1.3342,630.96,25384000.0,1238700.0
1.4223,630.96,19498000.0,988570.0
1.5163,630.96,16240000.0,928950.0
1.6164,630.96,10773000.0,669030.0
1.7232,630.96,7822300.0,546780.0
1.837,630.96,6274900.0,520190.0
1.9583,630.96,5201100.0,517510.0
2.0877,630.96,3033100.0,274800.0
2.2256,630.96,3194800.0,407020.0
2.3726,630.96,1746800.0,307090.0
2.5293,630.96,1580200.0,199580.0
2.6964,630.96,1154200.0,208790.0
2.8745,630.96,821510.0,145330.0
3.0643,630.96,526270.0,93570.0
3.2667,630.96,216440.0,54023.0
3.4825,630.96,389360.0,94109.0
3.7125,630.96,245850.0,70904.0
3.9577,630.96,196360.0,43906.0
4.2191,630.96,145440.0,38250.0
4.4978,630.96,152060.0,47261.0
4.7949,630.96,162880.0,50509.0
5.1116,630.96,110640.0,32273.0
5.4492,630.96,149970.0,39876.0
5.8091,630.96,121730.0,36155.0
6.1928,630.96,49566.0,16183.0
6.6019,630.96,42966.0,25792.0
7.0379,630.96,10277.0,4653.4
7.5028,630.96,6156.5,4801.5
7.9983,630.96,3217.5,1703.7
8.5266,630.96,12306.0,10015.0
9.0898,630.96,850.48,850.48
9.6902,630.96,0.0,0.0
10.33,630.96,0.0,0.0
11.013,630.96,0.0,0.0
11.74,630.96,0.0,0.0
12.515,630.96,0.0,0.0
13.342,630.96,0.0,0.0
14.223,630.96,0.0,0.0
15.163,630.96,0.0,0.0
16.164,630.96,0.0,0.0
17.232,630.96,0.0,0.0
18.37,630.96,0.0,0.0
19.583,630.96,0.0,0.0
20.877,630.96,0.0,0.0
22.256,630.96,0.0,0.0
23.726,630.96,0.0,0.0
25.293,630.96,0.0,0.0
26.964,630.96,0.0,0.0
28.745,630.96,0.0,0.0
30.643,630.96,0.0,0.0
32.667,630.96,0.0,0.0
34.825,630.96,0.0,0.0
37.125,630.96,0.0,0.0
39.577,630.96,0.0,0.0
42.191,630.96,0.0,0.0
44.978,630.96,0.0,0.0
47.949,630.96,0.0,0.0
51.116,630.96,0.0,0.0
54.492,630.96,0.0,0.0
58.091,630.96,0.0,0.0
61.928,630.96,0.0,0.0
66.019,630.96,0.0,0.0
70.379,630.96,0.0,0.0
75.028,630.96,0.0,0.0
79.983,630.96,0.0,0.0
85.266,630.96,0.0,0.0
90.898,630.96,0.0,0.0
96.902,630.96,0.0,0.0
103.3,630.96,0.0,0.0
110.13,630.96,0.0,0.0
117.4,630.96,0.0,0.0
125.15,630.96,0.0,0.0
133.42,630.96,0.0,0.0
142.23,630.96,0.0,0.0
151.63,630.96,0.0,0.0
161.64,630.96,0.0,0.0
172.32,630.96,0.0,0.0
183.7,630.96,0.0,0.0
195.83,630.96,0.0,0.0
208.77,630.96,0.0,0.0
222.56,630.96,0.0,0.0
237.26,630.96,0.0,0.0
252.93,630.96,0.0,0.0
269.64,630.96,0.0,0.0
287.45,630.96,0.0,0.0
306.43,630.96,0.0,0.0
326.67,630.96,0.0,0.0
348.25,630.96,0.0,0.0
371.25,630.96,0.0,0.0
395.77,630.96,0.0,0.0
421.91,630.96,0.0,0.0
449.78,630.96,0.0,0.0
479.49,630.96,0.0,0.0
511.16,630.96,0.0,0.0
544.92,630.96,0.0,0.0
580.91,630.96,0.0,0.0
619.28,630.96,0.0,0.0
660.19,630.96,0.0,0.0
703.79,630.96,0.0,0.0
750.28,630.96,0.0,0.0
799.83,630.96,0.0,0.0
852.66,630.96,0.0,0.0
908.98,630.96,0.0,0.0
969.02,630.96,0.0,0.0
1033.0,630.96,0.0,0.0
1101.3,630.96,0.0,0.0
1174.0,630.96,0.0,0.0
1251.5,630.96,0.0,0.0
1334.2,630.96,0.0,0.0
1422.3,630.96,0.0,0.0
1516.3,630.96,0.0,0.0
1616.4,630.96,0.0,0.0
1723.2,630.96,0.0,0.0
1837.0,630.96,0.0,0.0
1958.3,630.96,0.0,0.0
2087.7,630.96,0.0,0.0
2225.6,630.96,0.0,0.0
2372.6,630.96,0.0,0.0
2529.3,630.96,0.0,0.0
2696.4,630.96,0.0,0.0
2874.5,630.96,0.0,0.0
3064.3,630.96,0.0,0.0
3266.7,630.96,0.0,0.0
3482.5,630.96,0.0,0.0
3712.5,630.96,0.0,0.0
3957.7,630.96,0.0,0.0
4219.1,630.96,0.0,0.0
4497.8,630.96,0.0,0.0
4794.9,630.96,0.0,0.0
5111.6,630.96,0.0,0.0
5449.2,630.96,0.0,0.0
5809.1,630.96,0.0,0.0
6192.8,630.96,0.0,0.0
6601.9,630.96,0.0,0.0
7037.9,630.96,0.0,0.0
7502.8,630.96,0.0,0.0
7998.3,630.96,0.0,0.0
8526.6,630.96,0.0,0.0
9089.8,630.96,0.0,0.0
9690.2,630.96,0.0,0.0
55000.0,630.96,0.0,0.0
550000.0,630.96,0.0,0.0
5500000.0,630.96,0.0,0.0
