,formula,thickness,density,height,transmission,mu_per_cm,transmission (2.53 Å),mu_per_cm (2.53 Å)
61,Ni8955Co14Cr3827Al199Mo305Ti192Nb518Fe3196,2.020858877979765,8.2006,3.9633,72.73607842752429,1.575234488356284,73.943907,1.4937381181050715
62,Ni8960Co12Cr3791Al202Mo300Ti196Nb496Fe3207,1.9786330290798555,8.2006,4.0283,73.16631370061292,1.5790450361344421,74.358783,1.4973387446814042
63,Ni8955Co201Cr3772Al236Mo389Ti257Nb485Fe2871,2.0414491017654126,8.21472,4.0932,71.82507584346183,1.6210863395474937,73.136237,1.5324713390857188
64,Ni8892Co199Cr3761Al234Mo385Ti262Nb481Fe2889,2.0058504618021207,8.21472,4.1582,72.2549893426814,1.62010484291924,73.55183,1.5314195353370548
65,Ni8849Co187Cr3795Al229Mo369Ti244Nb469Fe2916,2.038054989529128,8.21472,4.2232,71.91673278299182,1.6175286095832937,73.22085,1.529350145676664
66,Ni8888Co175Cr3784Al238Mo372Ti239Nb462Fe2939,2.036623389675589,8.21472,4.2882,71.9537082128543,1.6161417810688765,73.251157,1.5283932442875334
67,Ni8986Co280Cr3804Al246Mo398Ti251Nb377Fe2864,2.0370087662337486,8.21472,4.3531,71.4564737839074,1.6498784172887573,72.808455,1.5578631897889763
68,Ni8882Co359Cr3765Al269Mo449Ti290Nb426Fe2660,2.014969102303957,8.21472,4.4181,71.5992380816749,1.65801923718582,72.977957,1.5633626787745138
69,Ni8879Co350Cr3715Al259Mo446Ti284Nb471Fe2639,2.0032391963652163,8.21472,4.4831,71.7962805985851,1.6540087380728699,73.163765,1.5598232193574262
70,Ni8799Co303Cr3704Al271Mo428Ti280Nb509Fe2704,2.0268400168285736,8.21472,4.548,71.75429730600504,1.6376351247228884,73.107118,1.5454818728217736
71,Ni8835Co290Cr3825Al252Mo409Ti285Nb479Fe2750,2.0242661889525424,8.21472,4.613,71.81079202466833,1.6358293997388333,73.158984,1.5439434380600208
72,Ni8833Co332Cr3822Al253Mo423Ti287Nb436Fe2716,2.0197718790615875,8.21472,4.678,71.66601344348756,1.649461331578195,73.034374,1.555819160632245
73,Ni8900Co404Cr3868Al265Mo444Ti280Nb366Fe2651,2.013146194619055,8.21472,4.7429,71.41687096034507,1.6721888231164566,72.818538,1.5756412584050856
74,Ni8869Co394Cr3721Al271Mo442Ti281Nb382Fe2637,1.9745534585824147,8.21472,4.8079,71.85134080677788,1.67415529322085,73.232635,1.577718899873689
75,Ni8840Co365Cr3937Al258Mo438Ti282Nb427Fe2677,1.9181406442872857,8.21472,4.8729,72.83415593396609,1.6525647732898805,74.174693,1.5574830738836525
76,Ni8847Co357Cr3955Al262Mo407Ti302Nb386Fe2680,1.9900478316946844,8.21472,4.9379,71.90342611371243,1.6574791120509331,73.275757,1.562476858833281
77,Ni8836Co375Cr3912Al264Mo449Ti290Nb421Fe2660,1.9397500675715142,8.21472,5.0028,72.53725644997044,1.6552125937185487,73.891941,1.5598216585368687
78,Ni8840Co422Cr3881Al265Mo452Ti304Nb416Fe2580,1.9836771361540273,8.21472,5.0678,71.81991825953652,1.6686603343228694,73.216246,1.5715906791140353
79,Ni8852Co419Cr3926Al276Mo468Ti304Nb429Fe2555,1.992874470030713,8.21472,5.1328,71.7907474443647,1.6629977898711903,73.18788,1.5662820573709124
80,Ni8809Co409Cr3920Al273Mo460Ti319Nb466Fe2559,1.995457640959484,8.21472,5.1978,71.85362772572881,1.6564575347792867,73.246271,1.5602578618851985
81,Ni8842Co395Cr3917Al271Mo451Ti291Nb441Fe2594,1.9971870285320177,8.21472,5.2627,71.81384551985629,1.6577961365444864,73.20114,1.5619928775568976
82,Ni8916Co399Cr4016Al267Mo444Ti287Nb388Fe2625,2.0066646919162756,8.21472,5.3277,71.63009647429074,1.662733489380515,73.025445,1.5665907971359179
83,Ni8864Co429Cr3989Al275Mo466Ti300Nb412Fe2548,2.027465845773373,8.21472,5.3927,71.34936907277553,1.6650425234842592,72.76612,1.5680645096371315
84,Ni8867Co448Cr3849Al283Mo483Ti314Nb428Fe2518,2.0458106451483515,8.21472,5.4576,71.03202685555581,1.6719012045050248,72.464298,1.5743206125144267
85,Ni8843Co428Cr3803Al269Mo464Ti302Nb413Fe2567,2.0215067422550574,8.21472,5.5226,71.31256135715293,1.672503439640868,72.727269,1.5753288164316985
86,Ni8873Co440Cr3785Al277Mo471Ti306Nb394Fe2557,2.024188822284717,8.21472,5.5876,71.20057482586361,1.6780514271509652,72.62269,1.580350484248436
87,Ni8889Co453Cr3914Al282Mo468Ti294Nb361Fe2563,2.0638321034749856,8.21472,5.6526,70.70718008257343,1.6795119167915329,72.152145,1.5814909116436149
88,Ni8803Co425Cr3804Al278Mo475Ti329Nb439Fe2531,2.0409730219761375,8.21472,5.7175,71.16877992789253,1.666440194108753,72.589799,1.5695738269065869
89,Ni8851Co427Cr3813Al277Mo472Ti319Nb423Fe2551,2.0260280893029723,8.21472,5.7825,71.29819444617168,1.669765508238684,72.714,1.5727138703358674
90,Ni8870Co435Cr3558Al273Mo471Ti317Nb425Fe2524,2.0685690058788193,8.21472,5.8475,70.5880474176349,1.683817918886812,72.026097,1.586322106626784
91,Ni8839Co464Cr3668Al284Mo480Ti327Nb408Fe2488,2.0592923626971054,8.21472,5.9124,70.66788992219513,1.6859135507090295,72.11658,1.5873715440497813
92,Ni8910Co448Cr3614Al276Mo446Ti292Nb355Fe2569,2.052362095497056,8.21472,5.9774,70.60639053754586,1.695848548460392,72.047265,1.5974170675463717
93,Ni8665Co421Cr3504Al274Mo503Ti399Nb624Fe2383,2.078608725899847,8.21472,6.0424,70.92992117046204,1.6524409710486494,72.358479,1.5565100903843923
94,Ni8758Co437Cr3535Al285Mo493Ti346Nb495Fe2464,2.0610679193021615,8.21472,6.1074,70.84764700351094,1.672135246659925,72.280852,1.574964753953185
95,Ni8877Co450Cr3866Al280Mo444Ti306Nb387Fe2540,2.032897788204273,8.21472,6.1723,71.05671870725284,1.68081137582289,72.488602,1.5826710626910268
96,Ni8937Co441Cr3959Al277Mo447Ti279Nb333Fe2593,2.0924652598402407,8.21472,6.2373,70.34290715111707,1.6812141953485518,71.79528,1.583545765924061
97,Ni8822Co399Cr3997Al269Mo456Ti305Nb452Fe2560,2.090867526613247,8.21472,6.3023,70.77754672116392,1.6530381188399093,72.204716,1.5575583795613526
98,Ni8834Co422Cr3951Al281Mo459Ti329Nb465Fe2514,2.088685669701465,8.21472,6.3673,70.71659356660943,1.6588898068195366,72.153936,1.562553686157419
99,Ni8849Co429Cr3976Al274Mo457Ti304Nb416Fe2559,2.053986654144127,8.21472,6.4322,71.02834317040104,1.6654985967528724,72.456249,1.5685947506177964
100,Ni8932Co442Cr3963Al273Mo453Ti292Nb382Fe2571,2.0609162891716855,8.21472,6.4972,70.80234212413087,1.6753621037419382,72.239937,1.5778280305769177
