,formula,thickness,density,height,transmission,mu_per_cm
39,Ni8789Co15Cr3749Al231Mo306Ti368Nb520Fe3138,1.99165209223247,8.2006,2.5339,85.48636435872533,0.7873528944132918
40,Ni8923Co13Cr3801Al198Mo311Ti205Nb553Fe3160,1.9923184508213012,8.2006,2.5989,85.48831454767006,0.7869750504909537
41,Ni8910Co10Cr3836Al192Mo304Ti196Nb503Fe3194,1.9697467114115148,8.2006,2.6639,85.61125659781653,0.7886973907614716
42,Ni8962Co11Cr3897Al199Mo299Ti182Nb454Fe3244,1.934865984768194,8.2006,2.7288,85.80969053782206,0.7909500903178465
43,Ni8910Co13Cr3813Al197Mo310Ti192Nb542Fe3167,1.9298535627638855,8.2006,2.7938,85.90538079360837,0.7872292576289017
44,Ni8661Co12Cr3767Al390Mo302Ti364Nb564Fe3094,1.9674378030837745,8.2006,2.8588,85.77161648264476,0.7801112909844706
45,Ni8846Co11Cr3818Al195Mo307Ti218Nb640Fe3098,1.9716977147511023,8.2006,2.9237,85.72488309808286,0.7811899875570941
46,Ni8867Co12Cr3738Al198Mo317Ti212Nb608Fe3104,2.0213933215202893,8.2006,2.9887,85.33992742736085,0.7842499375804227
47,Ni8803Co12Cr3494Al195Mo311Ti213Nb649Fe3087,2.025991758995845,8.2006,3.0537,85.27377239131467,0.7862976389705313
48,Ni8921Co11Cr3570Al196Mo307Ti191Nb509Fe3168,2.030666165536484,8.2006,3.1187,85.11191597942295,0.7938436149033485
49,Ni8933Co11Cr3699Al197Mo300Ti203Nb495Fe3181,2.032907466155133,8.2006,3.1836,85.12112115072779,0.7924364081979363
50,Ni8831Co12Cr3746Al197Mo302Ti207Nb564Fe3139,2.0341081580397242,8.2006,3.2486,85.21625512954859,0.7864772667702713
51,Ni8931Co12Cr3895Al201Mo307Ti211Nb521Fe3173,1.9808863158372416,8.2006,3.3136,85.56627582135286,0.7869151968586994
52,Ni8925Co11Cr3886Al199Mo306Ti196Nb486Fe3210,2.0061887158014486,8.2006,3.3785,85.36653220324571,0.7886399486435477
53,Ni8873Co11Cr3907Al205Mo304Ti202Nb546Fe3180,2.0255099452964274,8.2006,3.4435,85.30974724418718,0.7844023093204077
54,Ni8869Co13Cr3849Al200Mo304Ti192Nb510Fe3183,1.94587644689647,8.2006,3.5085,85.78833621091542,0.787753665333045
55,Ni8563Co8Cr3730Al397Mo301Ti338Nb563Fe3048,2.012591157400653,8.2006,3.5735,85.48935362244198,0.7789875070144292
56,Ni8953Co11Cr3873Al201Mo312Ti179Nb472Fe3236,2.023377563148417,8.2006,3.6384,85.23403423183679,0.7896171827331142
57,Ni8892Co10Cr3870Al205Mo317Ti207Nb510Fe3171,2.0322188463035054,8.2006,3.7034,85.22768844561055,0.7865482769373435
58,Ni8962Co9Cr3883Al201Mo306Ti191Nb512Fe3206,2.0344076051231905,8.2006,3.7684,85.19424576950385,0.7876312099242654
59,Ni8976Co7Cr3835Al198Mo306Ti197Nb543Fe3171,2.0358078970043394,8.2006,3.8333,85.19376075681915,0.7871174172370033
60,Ni8929Co11Cr3846Al194Mo301Ti184Nb489Fe3212,2.03310657603755,8.2006,3.8983,85.16771986155426,0.7896669102380494
61,Ni8955Co14Cr3827Al199Mo305Ti192Nb518Fe3196,2.020858877979765,8.2006,3.9633,85.26088241599898,0.7890428507171314
62,Ni8960Co12Cr3791Al202Mo300Ti196Nb496Fe3207,1.9786330290798555,8.2006,4.0283,85.51361688376699,0.7909226148950053
63,Ni8955Co201Cr3772Al236Mo389Ti257Nb485Fe2871,2.0414491017654126,8.21472,4.0932,84.71977026565986,0.812272009352497
64,Ni8892Co199Cr3761Al234Mo385Ti262Nb481Fe2889,2.0058504618021207,8.21472,4.1582,84.97398851923256,0.8117504113699814
65,Ni8849Co187Cr3795Al229Mo369Ti244Nb469Fe2916,2.038054989529128,8.21472,4.2232,84.77423334722405,0.8104714654349566
66,Ni8888Co175Cr3784Al238Mo372Ti239Nb462Fe2939,2.036623389675589,8.21472,4.2882,84.79638121708216,0.8097585408460801
67,Ni8986Co280Cr3804Al246Mo398Ti251Nb377Fe2864,2.0370087662337486,8.21472,4.3531,84.49972336032768,0.8268100180245941
68,Ni8882Co359Cr3765Al269Mo449Ti290Nb426Fe2660,2.014969102303957,8.21472,4.4181,84.58281013645082,0.8309761658716653
69,Ni8879Co350Cr3715Al259Mo446Ti284Nb471Fe2639,2.0032391963652163,8.21472,4.4831,84.69988597861203,0.8289371075186842
70,Ni8799Co303Cr3704Al271Mo428Ti280Nb509Fe2704,2.0268400168285736,8.21472,4.548,84.67584169340144,0.820685627233974
71,Ni8835Co290Cr3825Al252Mo409Ti285Nb479Fe2750,2.0242661889525424,8.21472,4.613,84.70946057792055,0.8197681527178584
72,Ni8833Co332Cr3822Al253Mo423Ti287Nb436Fe2716,2.0197718790615875,8.21472,4.678,84.62285159725589,0.8266569315977174
73,Ni8900Co404Cr3868Al265Mo444Ti280Nb366Fe2651,2.013146194619055,8.21472,4.7429,84.4736219555004,0.8381451233749093
74,Ni8869Co394Cr3721Al271Mo442Ti281Nb382Fe2637,1.9745534585824147,8.21472,4.8079,84.73168697320693,0.8390785535265626
75,Ni8840Co365Cr3937Al258Mo438Ti282Nb427Fe2677,1.9181406442872857,8.21472,4.8729,85.31217879240909,0.8281611995432553
76,Ni8847Co357Cr3955Al262Mo407Ti302Nb386Fe2680,1.9900478316946844,8.21472,4.9379,84.76291399464354,0.830693972200217
77,Ni8836Co375Cr3912Al264Mo449Ti290Nb421Fe2660,1.9397500675715142,8.21472,5.0028,85.13715677843662,0.8295224395049288
78,Ni8840Co422Cr3881Al265Mo452Ti304Nb416Fe2580,1.9836771361540273,8.21472,5.0678,84.71232368490809,0.8363714731556605
79,Ni8852Co419Cr3926Al276Mo468Ti304Nb429Fe2555,1.992874470030713,8.21472,5.1328,84.69504642381307,0.8335350385516891
80,Ni8809Co409Cr3920Al273Mo460Ti319Nb466Fe2559,1.995457640959484,8.21472,5.1978,84.73242713074069,0.8302446883188862
81,Ni8842Co395Cr3917Al271Mo451Ti291Nb441Fe2594,1.9971870285320177,8.21472,5.2627,84.70921817433027,0.8308974305071627
82,Ni8916Co399Cr4016Al267Mo444Ti287Nb388Fe2625,2.0066646919162756,8.21472,5.3277,84.60017763671208,0.8333919479775586
83,Ni8864Co429Cr3989Al275Mo466Ti300Nb412Fe2548,2.027465845773373,8.21472,5.3927,84.43279375621545,0.8346099076916237
84,Ni8867Co448Cr3849Al283Mo483Ti314Nb428Fe2518,2.0458106451483515,8.21472,5.4576,84.24362908198329,0.8380894841194332
85,Ni8843Co428Cr3803Al269Mo464Ti302Nb413Fe2567,2.0215067422550574,8.21472,5.5226,84.41108797150348,0.8383420910879575
86,Ni8873Co440Cr3785Al277Mo471Ti306Nb394Fe2557,2.024188822284717,8.21472,5.5876,84.34426285484689,0.8411438368897152
