,formula,thickness,density,transmission,mu_per_cm,height_mm,height
0,Ni8740Co72Cr3576Al190Mo301Ti419Nb523Fe3290,2.7328,8.19,30.732179441583085,1.5731465201109467,0.0,0.0
1,Ni8692Co73Cr3565Al191Mo302Ti232Nb594Fe3264,2.7328004306163445,8.19,30.888388073592832,1.5663864842799324,0.065,0.065
2,Ni8790Co42Cr3597Al197Mo304Ti219Nb602Fe3193,2.7328003571186805,8.19,31.022412667009856,1.5606136713005236,0.1299,0.1299
3,Ni8819Co38Cr3744Al192Mo294Ti215Nb539Fe3222,2.7327815828944177,8.19,30.983919543153952,1.5622691206685149,0.1949,0.1949
4,Ni8828Co39Cr3580Al196Mo304Ti203Nb542Fe3226,2.7327598281920227,8.19,30.854361537293677,1.5678560890495445,0.2599,0.2599
5,Ni8849Co38Cr3590Al203Mo300Ti213Nb550Fe3223,2.733771571941027,8.19,30.870589174402525,1.5671550159914869,0.3249,0.3249
6,Ni8784Co43Cr3609Al195Mo304Ti212Nb549Fe3227,2.7361277207629193,8.19,30.908736069392646,1.5655084284667158,0.3898,0.3898
7,Ni8785Co34Cr3576Al192Mo313Ti235Nb597Fe3159,2.8040174804417566,8.19,31.048792438657863,1.559480358972472,0.4548,0.4548
8,Ni8894Co29Cr3514Al202Mo305Ti212Nb539Fe3167,2.8685248803586347,8.19,30.786906139335084,1.5707742823283006,0.5198,0.5198
9,Ni8851Co26Cr3546Al201Mo307Ti200Nb566Fe3158,2.93140473063661,8.19,30.928219463464362,1.5646682234663862,0.5848,0.5848
10,Ni8852Co28Cr3658Al198Mo309Ti199Nb539Fe3176,2.9858722953143086,8.19,30.96117313097187,1.5632483282095804,0.6497,0.6497
11,Ni8907Co27Cr3747Al199Mo307Ti184Nb490Fe3232,2.913830132311123,8.19,30.89793826357222,1.565974302896268,0.7147,0.7147
12,Ni8884Co16Cr3762Al201Mo311Ti202Nb584Fe3160,2.85005095577812,8.19,31.209458616040703,1.5525986351280805,0.7797,0.7797
13,Ni8862Co21Cr3777Al198Mo301Ti199Nb542Fe3167,2.7826062581989843,8.19,31.08650485215631,1.5578618514134923,0.8446,0.8446
14,Ni8872Co20Cr3693Al201Mo309Ti209Nb528Fe3174,2.78524617460879,8.19,30.99810015318445,1.5616590250161568,0.9096,0.9096
15,Ni8907Co20Cr3793Al200Mo303Ti211Nb530Fe3174,2.8563340516386675,8.19,31.05534806747966,1.559198869255674,0.9746,0.9746
16,Ni8867Co24Cr3822Al203Mo321Ti212Nb578Fe3150,2.8599847538059833,8.19,31.24354125497939,1.5511433480100827,1.0395,1.0395
17,Ni8899Co20Cr3907Al196Mo305Ti207Nb497Fe3217,2.8609614310265297,8.19,31.095944709227997,1.557457027342358,1.1045,1.1045
18,Ni8932Co14Cr3833Al198Mo302Ti209Nb522Fe3189,2.860917721723451,8.19,31.08554966875503,1.5579028208772903,1.1695,1.1695
19,Ni8884Co16Cr3775Al204Mo310Ti190Nb498Fe3179,2.8608992564863973,8.19,31.01612407944542,1.5608839801726442,1.2345,1.2345
20,Ni8876Co17Cr3691Al196Mo307Ti193Nb528Fe3169,2.860899953235104,8.19,30.997047469469457,1.5617043052789068,1.2994,1.2994
21,Ni8815Co14Cr3686Al221Mo328Ti221Nb614Fe3102,2.8608996811058893,8.19,31.318200487592534,1.5479610296165467,1.3644,1.3644
22,Ni8900Co19Cr3595Al196Mo311Ti202Nb554Fe3155,2.8608838201659785,8.19,30.95212489635465,1.5636380445804814,1.4294,1.4294
23,Ni8917Co15Cr3655Al196Mo304Ti193Nb470Fe3206,2.860900917160521,8.19,30.806056045799814,1.5699451872974228,1.4944,1.4944
24,Ni8884Co14Cr3797Al201Mo296Ti188Nb489Fe3221,2.8617845664993613,8.19,30.99899811509014,1.5616204011910282,1.5593,1.5593
25,Ni8865Co15Cr3877Al198Mo309Ti189Nb516Fe3190,2.861769059756877,8.19,31.16676128779079,1.5544240031923617,1.6243,1.6243
26,Ni8898Co15Cr3870Al198Mo305Ti202Nb552Fe3171,2.9305482307032915,8.19,31.211805131202112,1.5524983908620873,1.6893,1.6893
27,Ni8866Co13Cr3907Al199Mo306Ti208Nb531Fe3196,2.9429186545507946,8.19,31.237533774291336,1.5513997448237313,1.7542,1.7542
28,Ni8868Co14Cr3846Al206Mo301Ti194Nb529Fe3188,2.9221601289540207,8.19,31.160633198986332,1.554686192400373,1.8192,1.8192
29,Ni8951Co15Cr3907Al195Mo295Ti199Nb491Fe3188,2.9908007500760876,8.19,31.039452776287952,1.559881493944501,1.8842,1.8842
30,Ni8878Co12Cr3836Al200Mo311Ti192Nb512Fe3176,2.988442617114459,8.19,31.1299327020776,1.5560004844958326,1.9492,1.9492
31,Ni8874Co14Cr3860Al202Mo307Ti205Nb547Fe3160,2.9890432347405484,8.19,31.21882960638026,1.5521983469178575,2.0141,2.0141
32,Ni8937Co11Cr3819Al198Mo306Ti197Nb542Fe3160,2.988046224680522,8.19,31.134192849274562,1.555818029632099,2.0791,2.0791
33,Ni8867Co14Cr3892Al198Mo308Ti195Nb554Fe3162,2.9828131967003015,8.19,31.267889891871846,1.550104662757285,2.1441,2.1441
34,Ni8918Co12Cr3884Al201Mo321Ti210Nb579Fe3126,2.9153861009110944,8.19,31.32141697042436,1.5478240989022936,2.209,2.209
35,Ni8856Co12Cr3873Al204Mo303Ti198Nb550Fe3172,2.8575691322545476,8.19,31.254961350272826,1.5506560789313266,2.274,2.274
36,Ni8898Co13Cr3884Al195Mo318Ti193Nb514Fe3192,2.861128521920812,8.19,31.175211847768292,1.554062532009926,2.339,2.339
37,Ni8950Co20Cr3867Al196Mo301Ti189Nb486Fe3202,2.858941367635229,8.19,30.98218712013238,1.5623436742426244,2.404,2.404
38,Ni8847Co14Cr3865Al195Mo309Ti227Nb532Fe3166,2.893896286244345,8.19,31.210380347929195,1.5525592573958784,2.4689,2.4689
39,Ni8789Co15Cr3749Al231Mo306Ti368Nb520Fe3138,2.949629372647345,8.19,31.146633866471195,1.555285344887075,2.5339,2.5339
40,Ni8923Co13Cr3801Al198Mo311Ti205Nb553Fe3160,2.9461124482152528,8.19,31.15656104244109,1.554860447423698,2.5989,2.5989
41,Ni8910Co10Cr3836Al192Mo304Ti196Nb503Fe3194,2.946946632412132,8.19,31.078248173950186,1.5582160361823096,2.6639,2.6639
42,Ni8962Co11Cr3897Al199Mo299Ti182Nb454Fe3244,2.944695246698624,8.19,30.977203073065212,1.562558182361028,2.7288,2.7288
43,Ni8910Co13Cr3813Al197Mo310Ti192Nb542Fe3167,3.010286746656316,8.19,31.14675401791166,1.5552802014223814,2.7938,2.7938
44,Ni8661Co12Cr3767Al390Mo302Ti364Nb564Fe3094,3.0331830635380403,8.19,31.480056922318045,1.5410879389796543,2.8588,2.8588
45,Ni8846Co11Cr3818Al195Mo307Ti218Nb640Fe3098,2.983922101910161,8.19,31.423343570047297,1.5434921913070327,2.9237,2.9237
46,Ni8867Co12Cr3738Al198Mo317Ti212Nb608Fe3104,2.989164124005207,8.19,31.27979910993347,1.5495969235310787,2.9887,2.9887
47,Ni8803Co12Cr3494Al195Mo311Ti213Nb649Fe3087,2.9244086024335374,8.19,31.182173575671936,1.553764818953259,3.0537,3.0537
48,Ni8921Co11Cr3570Al196Mo307Ti191Nb509Fe3168,2.860137934044979,8.19,30.838374340068555,1.5685471351878248,3.1187,3.1187
49,Ni8933Co11Cr3699Al197Mo300Ti203Nb495Fe3181,2.8617501630852535,8.19,30.90448131097181,1.5656919818061847,3.1836,3.1836
50,Ni8831Co12Cr3746Al197Mo302Ti207Nb564Fe3139,2.8609288440484546,8.19,31.17747716594714,1.553965650085904,3.2486,3.2486
51,Ni8931Co12Cr3895Al201Mo307Ti211Nb521Fe3173,2.8608849885426704,8.19,31.161165911473226,1.5546633983435252,3.3136,3.3136
52,Ni8925Co11Cr3886Al199Mo306Ti196Nb486Fe3210,2.860899216738567,8.19,31.080662916497403,1.5581124418086387,3.3785,3.3785
53,Ni8873Co11Cr3907Al205Mo304Ti202Nb546Fe3180,2.860900261053996,8.19,31.274562361233528,1.5498201639719378,3.4435,3.4435
54,Ni8869Co13Cr3849Al200Mo304Ti192Nb510Fe3183,2.8609000188331146,8.19,31.123180382927373,1.55628972600648,3.5085,3.5085
55,Ni8563Co8Cr3730Al397Mo301Ti338Nb563Fe3048,2.8608999955915624,8.19,31.528708345838336,1.539028905532193,3.5735,3.5735
56,Ni8953Co11Cr3873Al201Mo312Ti179Nb472Fe3236,2.860899999583952,8.19,31.034518917906865,1.560093450024505,3.6384,3.6384
57,Ni8892Co10Cr3870Al205Mo317Ti207Nb510Fe3171,2.860900000072978,8.19,31.175575338984707,1.5540469859365853,3.7034,3.7034
58,Ni8962Co9Cr3883Al201Mo306Ti191Nb512Fe3206,2.860900000008808,8.19,31.124657250091538,1.5562264577454725,3.7684,3.7684
59,Ni8976Co7Cr3835Al198Mo306Ti197Nb543Fe3171,2.860899999998874,8.19,31.14695248927626,1.555271705267602,3.8333,3.8333
60,Ni8929Co11Cr3846Al194Mo301Ti184Nb489Fe3212,2.8609000000002354,8.19,31.031812656271768,1.560209723977148,3.8983,3.8983
61,Ni8955Co14Cr3827Al199Mo305Ti192Nb518Fe3196,2.860899999998031,8.19,31.061202858566343,1.5589475227780503,3.9633,3.9633
62,Ni8960Co12Cr3791Al202Mo300Ti196Nb496Fe3207,2.8608999999752176,8.19,30.97611527097024,1.5626050048019309,4.0283,4.0283
63,Ni8955Co201Cr3772Al236Mo389Ti257Nb485Fe2871,2.860900000086522,8.2,30.091164930569835,1.6012514416282233,4.0932,4.0932
64,Ni8892Co199Cr3761Al234Mo385Ti262Nb481Fe2889,2.860900001436944,8.2,30.115533935209328,1.6001720930317231,4.1582,4.1582
