Height (mm),Thickness (mm)
13.9629,3.2452
14.0056,3.2452
14.0483,3.2452
14.091,3.2452
14.1337,3.2452
14.1764,3.2452
14.2191,3.2452
14.2618,3.2452
14.3045,3.2452
14.3472,3.2452
14.3899,3.2452
14.4326,3.2452
14.4753,3.2452
14.518,3.2452
14.5607,3.2452
14.6034,3.2452
14.6461,3.2879
14.6888,3.3306
14.7315,3.3306
14.7742,3.3733
14.8169,3.3733
14.8596,3.3733
14.9023,3.3733
14.945,3.3733
14.9877,3.3733
15.0304,3.3733
15.0731,3.3306
15.1158,3.2879
15.1585,3.2452
15.2012,3.2452
15.2439,3.2452
15.2866,3.2452
15.3293,3.2452
15.372,3.2452
15.4147,3.2452
15.4574,3.2452
15.5001,3.2452
15.5428,3.2452
15.5855,3.2879
15.6282,3.3306
15.6709,3.3733
15.7136,3.3733
15.7563,3.3733
15.799,3.3733
15.8417,3.3733
15.8844,3.3733
15.9271,3.3733
15.9698,3.3733
16.0125,3.3733
16.0552,3.3306
16.0979,3.2879
16.1406,3.2452
16.1833,3.2452
16.226,3.2452
16.2687,3.2452
16.3114,3.2452
16.3541,3.2452
16.3968,3.2452
16.4395,3.2452
16.4822,3.2452
16.5249,3.2452
16.5676,3.2452
16.6103,3.2452
16.653,3.2452
16.6957,3.2452
16.7384,3.2452
16.7811,3.2452
16.8238,3.2452
16.8665,3.2452
16.9092,3.2025
16.9519,3.2025
16.9946,3.2452
17.0373,3.2452
17.08,3.2452
17.1227,3.2452
17.1654,3.2452
17.2081,3.2452
17.2508,3.2452
17.2935,3.2452
17.3362,3.2452
17.3789,3.2452
17.4216,3.2452
17.4643,3.2452
17.507,3.2452
17.5497,3.2452
17.5924,3.2452
17.6351,3.2452
17.6778,3.2452
17.7205,3.2452
17.7632,3.2452
17.8059,3.2452
17.8486,3.2452
17.8913,3.2452
17.934,3.2452
17.9767,3.2452
18.0194,3.2879
18.0621,3.2879
18.1048,3.2879
18.1475,3.3306
18.1902,3.3733
18.2329,3.3733
18.2756,3.3733
18.3183,3.3733
18.361,3.3306
18.4037,3.2879
18.4464,3.2452
18.4891,3.2452
18.5318,3.2452
18.5745,3.2452
18.6172,3.2452
18.6599,3.2452
18.7026,3.2452
18.7453,3.2452
18.788,3.1171
18.8307,2.989
18.8734,2.8609
18.9161,2.7328
18.9588,2.6047
19.0015,2.4766
19.0442,2.3485
19.0869,2.2204
19.1296,2.0923
19.1723,1.9642
19.215,1.8361
19.2577,1.708
19.3004,1.5799
19.3431,1.4518
19.3858,1.3237
19.4285,1.1956
19.4712,1.0675
19.5139,0.9394
19.5566,0.8113
19.5993,0.6832
19.642,0.5551
19.6847,0.427
19.7274,0.2989
19.7701,0.1708
19.8128,0.0427
19.8555,0.0427
19.8982,0
19.9409,0
19.9836,0
20.0263,0
20.069,0
20.1117,0
20.1544,0
20.1971,0
20.2398,0
20.2825,0
20.3252,0
20.3679,0
20.4106,0
