,formula,thickness,density,transmission,mu_per_cm,height_mm
217,Ni8810Co1179Cr3915Al408Mo767Ti509Nb212Fe1425,3.245196080987232,8.22,55.18823064862728,1.8316935355859822,14.0989
218,Ni8855Co1334Cr3997Al437Mo775Ti520Nb140Fe1245,3.2452007984301408,8.22,54.46442882674016,1.8723722112377874,14.1639
219,Ni8874Co1311Cr3948Al434Mo779Ti517Nb142Fe1264,3.245200045573245,8.23,54.478693465144076,1.871565690319238,14.2289
220,Ni8780Co1295Cr3931Al453Mo792Ti539Nb156Fe1261,3.245200280293418,8.23,54.62694269215247,1.8631915346428476,14.2938
221,Ni8789Co1298Cr4050Al428Mo811Ti592Nb176Fe1240,3.2452024600137888,8.23,54.806110524499694,1.8531000753843945,14.3588
222,Ni8827Co1354Cr4023Al442Mo792Ti542Nb129Fe1219,3.2451861808995304,8.23,54.39419798074119,1.8763567285104776,14.4238
223,Ni8833Co1361Cr4049Al440Mo797Ti543Nb133Fe1199,3.24505152767342,8.23,54.40336561328356,1.875915254218284,14.4887
224,Ni8794Co1371Cr3930Al438Mo799Ti563Nb140Fe1164,3.2458236140308947,8.23,54.26262628514639,1.883449474647618,14.5537
225,Ni8843Co1383Cr4010Al444Mo825Ti547Nb132Fe1147,3.2559442850524625,8.23,54.21399052561091,1.8803490768671742,14.6187
226,Ni8866Co1399Cr4004Al453Mo811Ti544Nb133Fe1133,3.3284049585454807,8.23,53.388315101343984,1.8855226155152405,14.6836
227,Ni8816Co1405Cr4001Al450Mo842Ti584Nb132Fe1084,3.3460529611054786,8.23,53.25739859872384,1.8829153559502585,14.7486
228,Ni8882Co1413Cr3823Al459Mo813Ti535Nb112Fe1109,3.3739573766399706,8.23,52.647772772430834,1.9014651911806735,14.8136
229,Ni8869Co1415Cr3973Al458Mo817Ti536Nb115Fe1102,3.3735800279479546,8.23,52.80805552469238,1.8926672403436235,14.8785
230,Ni8864Co1406Cr3928Al452Mo810Ti548Nb119Fe1102,3.3733461375036766,8.23,52.79390843467605,1.8935927309245821,14.9435
231,Ni8784Co1417Cr3936Al442Mo830Ti537Nb133Fe1103,3.3766890591468957,8.23,52.81362242726493,1.8906124219716964,15.0085
232,Ni8777Co1431Cr3869Al466Mo849Ti575Nb115Fe1048,3.3302711746955818,8.23,53.162777261482276,1.897177968161875,15.0734
233,Ni8833Co1442Cr3856Al464Mo824Ti546Nb107Fe1056,3.262047841715095,8.23,53.6956071369287,1.9062840944540738,15.1384
234,Ni8825Co1435Cr3871Al461Mo858Ti577Nb116Fe1048,3.245474224215323,8.23,54.01107257586143,1.8979695113462667,15.2034
235,Ni8864Co1459Cr3911Al460Mo819Ti540Nb97Fe1071,3.2449770447160065,8.23,53.82092303429174,1.9091287300462427,15.2684
236,Ni8795Co1461Cr3916Al460Mo861Ti578Nb112Fe1009,3.2451879245495925,8.23,53.94649939677857,1.901823243533951,15.3333
237,Ni8732Co1468Cr3943Al466Mo854Ti598Nb119Fe999,3.245275092124641,8.23,53.966121940009955,1.9006515326906555,15.3983
238,Ni8866Co1467Cr3776Al476Mo853Ti544Nb104Fe1023,3.245456510053291,8.23,53.738272908871,1.9135820162757597,15.4633
239,Ni8683Co1454Cr3916Al450Mo873Ti650Nb147Fe990,3.241529114944516,8.23,54.15236103398565,1.8922199678174565,15.5282
240,Ni8776Co1439Cr3844Al473Mo846Ti591Nb104Fe1015,3.2959957431907343,8.23,53.412503901656585,1.9026884766641794,15.5932
241,Ni8838Co1460Cr3824Al474Mo852Ti569Nb93Fe1026,3.363934516855097,8.23,52.61077480561058,1.9092204078022321,15.6582
242,Ni8829Co1483Cr3837Al464Mo834Ti563Nb97Fe1027,3.3724562444064383,8.23,52.41349486287788,1.9155358748925047,15.7231
243,Ni8811Co1479Cr3860Al460Mo841Ti566Nb96Fe1019,3.373430441308882,8.23,52.45355328919422,1.9127179838068877,15.7881
244,Ni8880Co1482Cr3898Al456Mo817Ti528Nb94Fe1029,3.3732796977422206,8.23,52.39465873845324,1.9161338230015423,15.8531
245,Ni8772Co1448Cr3655Al471Mo873Ti618Nb119Fe1011,3.3735189892605613,8.23,52.525453445599524,1.9086073278256837,15.918
246,Ni8835Co1450Cr3705Al460Mo831Ti559Nb104Fe1040,3.3755966426650446,8.23,52.38263322786286,1.915498636216907,15.983
247,Ni8904Co1465Cr3711Al471Mo830Ti541Nb91Fe1049,3.3387830799472664,8.23,52.65777276537976,1.920928410369178,16.048
248,Ni8805Co1452Cr3801Al458Mo886Ti597Nb116Fe1015,3.27060465446139,8.23,53.68421980813414,1.9019452110516686,16.1129
249,Ni8855Co1476Cr3675Al470Mo845Ti546Nb97Fe1025,3.2443333208450325,8.23,53.579869469447914,1.9233435542701391,16.1779
