Height (mm),Thickness (mm)
12.5111,2.15204584
12.5538,2.17280231
12.5965,2.21061316
12.6392,2.21799599
12.6819,2.22480664
12.7246,2.16207607
12.7673,2.16025705
12.81,2.20525004
12.8527,2.20697085
12.8954,2.20374273
12.9381,2.24779205
12.9808,2.2495641
13.0235,2.25237803
13.0662,2.25368038
13.1089,2.25545243
13.1516,2.25755754
13.1943,2.21782519
13.237,2.23031067
13.2797,2.25936802
13.3224,2.26125963
13.3651,2.26179338
13.4078,2.18282827
13.4505,2.20427221
13.4932,2.23864144
13.5359,2.24020853
13.5786,2.23870122
13.6213,2.23428604
13.664,2.22356407
13.7067,2.2631
13.7494,2.22356407
13.7921,2.23428604
13.8348,2.23870122
13.8775,2.24020853
13.9202,2.23870122
13.9629,2.23716829
14.0056,2.23428604
14.0483,2.22350429
14.091,2.23599831
14.1337,2.19346057
14.1764,2.2219799
14.2191,2.26236129
14.2618,2.17937384
14.3045,2.26303168
14.3472,2.25902215
14.3899,2.21447324
14.4326,2.25467529
14.4753,2.24989716
14.518,2.20447717
14.5607,2.21422131
14.6034,2.24308651
14.6461,2.2419635
14.6888,2.1969577
14.7315,2.20716727
14.7742,2.22996907
14.8169,2.18565501
14.8596,2.19081317
14.9023,2.21875178
14.945,2.22560086
14.9877,2.18992928
15.0304,2.20428502
15.0731,2.22173651
15.1158,2.22955915
15.1585,2.23393163
15.2012,2.23718537
15.2439,2.23732201
15.2866,2.23530657
15.3293,2.22364947
15.372,2.17501844
15.4147,2.22737291
15.4574,2.25692131
15.5001,2.25858661
15.5428,2.25898799
15.5855,2.26093938
15.6282,2.26179338
15.6709,2.2215956
15.7136,2.23252253
15.7563,2.22350429
15.799,2.23428604
15.8417,2.23870122
15.8844,2.24020853
15.9271,2.23870122
15.9698,2.23428604
16.0125,2.22356407
16.0552,2.2631
16.0979,2.2631
16.1406,2.2631
16.1833,2.2631
16.226,2.2631
16.2687,2.26304022
16.3114,2.23212969
16.3541,2.22120703
16.3968,2.26140908
16.4395,2.26093938
16.4822,2.25904777
16.5249,2.2608796
16.5676,2.26141335
16.6103,2.18234149
16.653,2.19398578
16.6957,2.2232609
16.7384,2.26273278
16.7811,2.262673
16.8238,2.26260895
16.8665,2.22302178
16.9092,2.23368397
16.9519,2.2413657
16.9946,2.24269367
17.0373,2.24257411
17.08,2.24239477
17.1227,2.24082341
17.1654,2.20255567
17.2081,2.18110746
17.2508,2.24711739
17.2935,2.21991749
17.3362,2.25900507
17.3789,2.25835603
17.4216,2.25691277
17.4643,2.25572144
17.507,2.25375724
17.5497,2.25192114
17.5924,2.25073408
17.6351,2.24800128
17.6778,2.24629328
17.7205,2.24300538
17.7632,2.19962218
17.8059,2.20461808
17.8486,2.20138996
17.8913,2.15923225
17.934,2.17083811
17.9767,2.14771179
18.0194,2.12174592
18.0621,2.13489325
18.1048,2.15778899
18.1475,2.15330122
18.1902,2.19527959
18.2329,2.19912686
18.2756,2.20458392
18.3183,2.20781204
18.361,2.21030145
18.4037,2.21291896
18.4464,2.17447615
18.4891,2.18703849
18.5318,2.21725301
18.5745,2.2183931
18.6172,2.21978939
18.6599,2.22083554
18.7026,2.22209946
18.7453,2.22337192
18.788,2.22390994
18.8307,2.22467
18.8734,2.22530623
18.9161,2.22645913
18.9588,2.22652318
19.0015,2.18724345
19.0442,2.19903719
19.0869,2.21171055
19.1296,2.17770854
19.1723,2.18997198
19.215,2.20890943
19.2577,2.21231689
19.3004,2.19987838
19.3431,2.18915641
19.3858,2.2280433
19.4285,2.2280433
19.4712,2.21965275
19.5139,2.19847782
19.5566,2.18748684
19.5993,2.22707828
19.642,2.22707828
19.6847,2.22593819
19.7274,2.22529769
19.7701,2.22516959
19.8128,2.22399961
19.8555,2.22336338
19.8982,2.22209519
19.9409,2.221681
19.9836,2.22028898
20.0263,2.19086441
20.069,2.17434805
20.1117,2.18769607
20.1544,2.17437794
20.1971,2.17087654
20.2398,2.20663352
20.2825,2.17667947
20.3252,2.11908998
20.3679,2.18635102
20.4106,2.13807013
20.4533,2.09055357
20.496,2.0637337
20.5387,2.03046186
20.5814,2.09408913
20.6241,2.10256081
20.6668,2.0648439
20.7095,2.07459658
20.7522,2.02595274
20.7949,1.9730389
20.8376,1.91651691
20.8803,1.76386868
20.923,0.6556585
